expanded_rl_record_id,anon_instance_id,category,selected_for_expanded_rl,selection_origin,sampling_pool,current_raw_passrate,current_valid_passrate,n_observed,n_valid,n_pass,infra_failure_rows
ERL-AE0F83DCF7D630D3,TRN-0899755D830DF34C,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-3ED2DDE2EF5C491B,TRN-47D746A47D6EDDB9,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-95A64722FCB0E559,TRN-353FDFE6D246CFCF,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-6CDE80F85C0E331C,TRN-B95A06F9EE1BFB05,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2FBBBF86D216183B,TRN-261BF8BE1CF05169,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-3DFB8AD4AEAB2ADC,TRN-EF9F937BC86230AD,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-4343C02DD45ADA82,TRN-BE32EBA8FBE1D10F,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-F942412230998F12,TRN-6CEF477C7FCBC4C0,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-DEB9672AD09BC871,TRN-B5A752177D28D104,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-B3B744995493A2F7,TRN-8DF0CBD5C44DF06B,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-82BB08E1E479AA1D,TRN-3C63B9524C79122E,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-918255F04BB415FE,TRN-EFE43FC0344D5B49,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-0C6E8CFA1FAC7E72,TRN-71A102FDB68B49BB,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-46380B06045A263D,TRN-43860F4317A50399,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-D75114437CA57A9F,TRN-A8AF190B8987CC4D,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-64D8E4AC6713825D,TRN-64EAC9A9263E624E,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-126007C461E64C1D,TRN-2801DAF29699C3E3,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-EA0EF104D8FEDC37,TRN-2CB97BF0A78D7138,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-23C9923F58E4FE43,TRN-C8FE4C0B1B53B10F,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-8A2356444FF620C9,TRN-3BBA5FA62E9324DB,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2836C26AEAE67216,TRN-F2F799DA5795BC49,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-1736B75557145ED0,TRN-A26A46BBD9D2BCDA,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-AFA345E16A03F5EF,TRN-0AB34BA9C0AB08CC,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-03F167E342D65960,TRN-7F48B63A7A8DFD50,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-3B95AAC5E8D78F71,TRN-E308DEACE261C6B4,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-D4528E1F79D8799D,TRN-F5305F7C52C7EF3A,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-BF622BF843AAF73A,TRN-0C5254CC39E94900,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-C7A65E70AAC82D10,TRN-AB120C68B1FE89A9,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-6B8B07900FC849A2,TRN-E6915EE6318661AB,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-3455F5561BEA08F1,TRN-555CE53D09CE9C76,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-67E315C7B866389F,TRN-7E068BB8C628F3FD,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,3,0,1
ERL-7575148A53935A99,TRN-E690EE04DC107496,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-B5D22DE9E0062698,TRN-DB10BE73265ACE8B,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-F5FD3166856E1DDD,TRN-E26FE7013E5DEDD0,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-329C14FC6832F8CA,TRN-4A733FDD63CF8548,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-DC2837136764C134,TRN-B4F82015E5494DC6,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-DC65FB7308939F1D,TRN-1B541A3B2E81C5D3,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-C3A73281507F5614,TRN-30D0E87B64BD1662,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-9826E7142B492F38,TRN-FB275022E0CC75E2,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-5F8417285B9CAE04,TRN-712186B6A613BB62,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-0E6EDABDED6DA4F1,TRN-ED545CD8ED5A9BB3,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-AEECB261EF751461,TRN-CEF30B1DD15DD0AE,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-D0E45C8ED29B9D24,TRN-7F954A922F5C298B,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-32ACB59016AE5722,TRN-71E25FC0BCE3CE48,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-4F7DC5BA1060D116,TRN-A71D0177568B5A06,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-0450D2BDD44979BB,TRN-AD21520A2EC3E69E,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-7345BE846200EC85,TRN-9D17E7323DFCB006,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-A3428F66B2332FCA,TRN-AA545C296D3E058F,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-BB24F4C5F101A594,TRN-2CC503BBD7B96FD6,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-B4FBB9C3B74A7E31,TRN-1D7ABD5AFC8BC8A3,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-6D9DD1D1AC19DEF1,TRN-B92B2A502220F004,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-8165A932292383C9,TRN-EC3644AB864E0751,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-CFE9104C1625C263,TRN-AA91AB4618DF833C,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-BE562D0AF0706E5B,TRN-3E033B2BBC7D4E36,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-F3EF0F3FB34E0AA0,TRN-77E4017FB81FF6A7,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-69657534FF3EDB18,TRN-E5E37E0745AC31B7,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-F409485B979D4812,TRN-07CF84199DD2A4B8,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-B2976A87F414D580,TRN-15D89BE3BA663673,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-575AE5EFBD68727D,TRN-CDFB2AEB3322D4CD,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-55A855DA7BEBCCC4,TRN-048F98AE5C342C33,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-1D47ED51C31967E9,TRN-A148CB86F411D189,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-17E58BD3634EE0F9,TRN-BAB72D56F8E4E840,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-8F5D8A9742B945D2,TRN-B89990820777FF0C,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-0EF6DA5BFD8B5D3A,TRN-93119F212A80DA66,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-04AEE719BE01C670,TRN-3CFAE000B4BEF89B,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-BE0C1FDDC88191AD,TRN-C5005A3835BF54EC,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-8DCE287A42611CC3,TRN-2240BF09EF66D3AB,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-606A824F724DE755,TRN-AB09CEA855058890,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-5290E693BCBD9618,TRN-14C88818C8533FE7,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-DCFD379ED6AEB488,TRN-CC9445A982F3942F,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2FCB833257082F1C,TRN-381E531F9C9E0C2D,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-8BC51BAF8EC5F150,TRN-5C8D62151068C670,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-1DBC787E3F6176F0,TRN-EC4C65F7357AAD83,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-AFF6A112D7025FD9,TRN-E123055F8F26D4A7,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-E929E0154F7DBB5C,TRN-64ED18C60A68FFD2,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-B1B0C9B402C97A6C,TRN-F3002E16516F7527,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-4A6411D05072C86E,TRN-569D2F130D41BBB9,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-1BFF90893B93647E,TRN-E768B6270E615F91,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-211E706BAC1B9A01,TRN-14F20B4E1FAF6819,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-427A3D4F94A760C3,TRN-5CB2DEA460D1931D,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-B65ADDF43D07DCB4,TRN-67F6A0120FDD1564,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-374A05A35E7F5C42,TRN-813A2608070E0BB3,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-87608FB4306447CE,TRN-754FF6BD7E4A12F2,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-5196D254B2CEEF4C,TRN-8FB4F717822FA236,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-0A2D2C1AA9138401,TRN-6E24FEF9B71F1323,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-B6BEEC87E4FB2018,TRN-03A6156ADD94FEF6,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-4524C12E6EC769F7,TRN-8B6DF8868B85F5D8,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-8CC1674C427591B0,TRN-24C8A71B38DDF1B5,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-FAF08469933E636D,TRN-F900F3F35268D70A,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-936AFEDDC66AB5CC,TRN-069B342EB5EBFA78,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-A6DB26BF4A0C2FD7,TRN-6B93A589F17A2C6D,A,true,unseen_probe,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-C6363D735B1A0791,TRN-030B5DCCD043E9F3,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-16753D8D634D1981,TRN-AB25FF7982807B48,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-7D87D7A1CE7201F7,TRN-8F38291755BC53E7,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-2023B7B775482597,TRN-7AF709F8A0FEBA15,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2E02982C6BE312DB,TRN-1EC036F521385A77,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-D7EEFF1C7A373C46,TRN-2D534FB548F7C581,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-715AEDF729364E66,TRN-C2AB35C7AA262308,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-629906CEEE578A04,TRN-1AC981DD6E28E1BC,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-BDA9213F77FE3948,TRN-4A5AF906C763065B,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-AD1E13308CD4DEF3,TRN-3FB4D6C0E2C4EAF4,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-5E959E1B1B50EF52,TRN-24726D7B2F26F253,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-2173715F865D02CC,TRN-28A5693619C5BE4B,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-229A450E8E4294CA,TRN-3D599F36D245B844,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-654B67EFFF255445,TRN-8C810D35830AB7CD,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-968019292C1F7EA0,TRN-D40866EECA870DF7,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-092069ED3C339ADC,TRN-75FCC497E170B528,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-284338E62D8E1AEB,TRN-7749943D3CD8E455,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-986EC920204F6F6C,TRN-11BAA0FB6EF37D16,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-CBA9C7DED73E1FED,TRN-0186A33E9984F437,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-83437D4C7CC192DF,TRN-20E8FF0E5B65D890,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-23E9641A0394E163,TRN-50FE4A72C23F3F86,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-C1AE7E4ECCC2E409,TRN-6BC8F3C4E21A2007,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-4589B1101EE2C41C,TRN-1F5BE0AF79E59639,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-F53C6D4DDF39C6D9,TRN-EDACB2C20270D69E,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-10858459E87995D0,TRN-2F14F31693F52D97,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-4CF1E923F7D8C92C,TRN-2B982023F4AE79D2,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-5F0885F84C4490A8,TRN-2286B985DE0F1547,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-D48B6844ABAD2A2B,TRN-2461A862B2989141,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-698FBC0DA4F88684,TRN-AB7771C229B297A7,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-C5B097874AE2FB39,TRN-362DFF39A4A4480E,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-856BE96568104B5D,TRN-8FF1354462345D39,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-0635C9647FFCAB4A,TRN-AA818A55A0A61C0A,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-739D1E43F3515195,TRN-A83C1E535E4B0650,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-B561FE5C094C6865,TRN-AFB40D263C7B4CB1,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-59F746551D447D57,TRN-B28DCB80284E983C,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-B5ACF2226AD768BB,TRN-D880559A8E9E209C,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-D797EC2D08D8473D,TRN-0A7D17C6E6F730B6,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-14AB666B2F84F180,TRN-83C1E6C074C4274E,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-2BA02AAEEEAFD858,TRN-98BD598E60EA77DF,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-18D4EC15779B56DC,TRN-803FA6273F160426,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-60F22ADEB1986BE0,TRN-3A97C2AA76BCDA42,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-B40AD7BAE5570F2E,TRN-5FB3E15519356DB2,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-8F527949B56CC8D7,TRN-ADEE820786E8CB05,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-BC46A9CC8DD24A22,TRN-8315E7ECD26A8E6B,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-E6E8BD8DE211AA9A,TRN-6690FA199629FF9C,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-A65773D90AF05DE7,TRN-AB122A6EC356BECD,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-2BA86484C0E81647,TRN-8FC54F3C2B8CE4E6,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-5A563E7260517E63,TRN-E39FA775FD76346D,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-C4573CB49DB1E079,TRN-7D43438864E70963,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-C895782CE0E91F3B,TRN-089C069345012BA6,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-11E6A580A9258C1D,TRN-4325DED72BA2432C,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-A07D7033D63497F1,TRN-AD8F6446B59DA959,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-B5F9B561AFB6150F,TRN-0205DD004932A1B8,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-BA0FDC3A97CA55DD,TRN-25F5E2DDA1371AA2,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-BB3D600BAC138AF7,TRN-6792491473B606ED,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-890817C8B1BE8128,TRN-FF8D82BE171567E2,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-E40AA47CFB4733C2,TRN-62D719D130A03F79,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-E030E3A3FF74ADE4,TRN-E4CB5B9E9FD768B2,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-414AD9C75AB21D1F,TRN-9234C3B39F456913,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-B67F979D67524705,TRN-FBC3DB0C17042B23,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-679B3D27D4157CB5,TRN-D92DFAAE47B8BB43,A,true,stage1_overlap,informative_non_extreme,0.5,0.6666666666666666,4,3,2,1
ERL-D48510537327A622,TRN-FA18F7E067038225,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-35AC9ECBBDAF9181,TRN-EE5E19CFB9DB96D1,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-5570963F8273535D,TRN-2F03B523DA233C1A,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-A2FDBD18193C6370,TRN-7C10A67A8E23CE77,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-B4108A7E5574902B,TRN-F55543FE2629C7AA,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-14FF0C572BF36C04,TRN-5DDAADD0B7C2C8D5,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-62CBD4BFE1301874,TRN-C56FFB4DFCF45E79,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-C33EE330FC6D69A6,TRN-8A997DDCFCCCF2DE,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-43BF87650D845C36,TRN-935E5771F1222055,A,true,stage1_overlap,recoverable_zero,0.0,0.0,4,4,0,0
ERL-1D64A891A41EBFBD,TRN-6FAA766CEFDFA02C,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-1E8C4265AB3C0881,TRN-E0EA21EF2C6305F4,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-AE5F0C209A020AC0,TRN-72691FD14F0A2F1E,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-EB754C47F040C3B3,TRN-C9F5B1A4C2A7B9E2,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-12C0F59293172041,TRN-E89E61AA09AC1B6D,A,true,unseen_probe,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-247013F20690C3FB,TRN-582B84FF371DD36D,A,true,stage1_overlap,informative_non_extreme,0.25,0.25,4,4,1,0
ERL-BAA0E9E58FBAEFA1,TRN-E52FBEA5BB12A544,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-2D446869D5B76B8C,TRN-8688BD3284C07EAD,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-17DD14B3B9532958,TRN-F5381F5C1BD91418,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-10E11037DAD25DAD,TRN-9CCBFA6DAB9ACECE,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-3C9DED1E94F0B031,TRN-D9AA58D0BE903478,A,true,unseen_probe,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-3606CED6E12B7208,TRN-DC128B772041F1F8,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-9B2412F3C85092FF,TRN-CDB0E6B28D7A24F7,A,true,stage1_overlap,informative_non_extreme,0.5,0.5,4,4,2,0
ERL-95FA7F337A9A37F7,TRN-3C64970696B305C0,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-15C24CCE0E0A3B66,TRN-2F35EC4D9A97330B,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
ERL-D1D14AFA8880335D,TRN-B01C76AF01ADF2AF,A,true,stage1_overlap,informative_non_extreme,0.75,0.75,4,4,3,0
