anon_instance_id,category,initial_rl_record_count
TRN-14AB9BCABD516FC9,B,1
TRN-14BAA67EC2894327,C,1
TRN-14C88818C8533FE7,A,1
TRN-14D0320F8946D4D0,C,1
TRN-14DBF901E04D575A,A,1
TRN-14E7604B1E48316B,A,1
TRN-14F20B4E1FAF6819,A,1
TRN-1546676887A65165,C,1
TRN-154E40EB1B9051B2,C,1
TRN-155E76DFA395F72C,C,1
TRN-1563E214450FA380,C,1
TRN-158004DE7E1CA3AC,A,1
TRN-158F46491727C007,B,1
TRN-159369C8989C4ACE,C,2
TRN-15B138E54513A8D7,C,1
TRN-15D89BE3BA663673,A,1
TRN-15EA0ABD6C18717E,C,1
TRN-162328DF6313DD8D,B,1
TRN-16314D2BBFBE8CEC,C,1
TRN-16576F820AED6D6A,C,1
TRN-16A669F4CC64AF57,C,1
TRN-16AD3565D424C15D,C,1
TRN-16DEBD756FF9CF71,A,1
TRN-16F51231020ECEF0,C,1
TRN-17183D54BCD41B7F,C,1
TRN-1730199DB5C161F9,C,1
TRN-17337422C1B6E665,C,1
TRN-1770CA321E85BB13,B,1
TRN-17781E9DACD4F275,C,1
TRN-1782297FAE4525DD,C,1
TRN-178E68CBB972D903,C,1
TRN-1797B9C92C44D2E7,C,1
TRN-17A4F9268BF0F261,B,1
TRN-17A787666F326A93,C,1
TRN-182346FB9AB05EA0,C,1
TRN-1832F6344E6909C8,C,1
TRN-1839BB9CF31B9435,C,1
TRN-1841FCB77C14042D,C,1
TRN-184FBF3262F11E46,C,1
TRN-1856A79B23878148,C,1
TRN-1875C07E211E32AF,B,1
TRN-1877FD3E1F4047B1,A,1
TRN-189DF6EB5FEDBA7F,C,1
TRN-18DF01D17EB789A1,C,1
TRN-18E0E1A0137BAEC5,C,1
TRN-18EE895DE8A522E0,C,1
TRN-190AA14AAF5FD0E7,B,1
TRN-1916B31E442EFDDD,C,1
TRN-195B88BF4CF8EED9,C,1
TRN-195EAA5B78BD0BD7,B,1
TRN-19789970275ECD26,C,1
TRN-19B2F6CE13FB10CC,C,1
TRN-19C3104FEAF76C38,C,1
TRN-19DD2F6E4EE12C95,B,1
TRN-1A3ACFAFD1E36686,C,1
TRN-1A4CCBA95886AD24,A,1
TRN-1AAD19BB1A5857B9,C,1
TRN-1AB09B6EB29F5DEF,B,1
TRN-1ABAA35A312CFC97,C,1
TRN-1AC981DD6E28E1BC,A,1
TRN-1B00DF1DC6E577D8,B,1
TRN-1B07826C05B27A13,C,1
TRN-1B08EFC650D57650,C,1
TRN-1B0D1DA8E42416E2,B,1
TRN-1B17154315442681,C,1
TRN-1B2B86CA31A64E97,C,1
TRN-1B2EAB02B7D4B637,C,1
TRN-1B3D8EB36BEE4AB4,C,1
TRN-1B3DCEA8E6663E44,A,1
TRN-1B50829715A076C3,B,1
TRN-1B541A3B2E81C5D3,A,1
TRN-1B72A11A7D2D3F6E,C,1
TRN-1B80E08F3FE6F83C,A,1
TRN-1B87B4984A37F670,C,1
TRN-1BDFEE838E4F2DA9,C,1
TRN-1C0DC884119B61BA,C,1
TRN-1C11E6419360D0FE,C,1
TRN-1C27BBBF62B01363,C,1
TRN-1C40F5F1BE7DC405,C,1
TRN-1C702B5512F7FAA5,C,1
TRN-1C8B1163D8759078,C,1
TRN-1C8FFE8BC5674F78,A,1
TRN-1C9F9326241B169A,C,1
TRN-1CB34F9AFB2BC6AC,C,1
TRN-1D3FE50573EBA6A2,C,1
TRN-1D7ABD5AFC8BC8A3,A,1
TRN-1D8ED87FC03F8031,B,1
TRN-1DD6D6941AFEA89F,C,1
TRN-1DD9FA8E431F4928,B,1
TRN-1DF47BDF644E8D3A,C,1
TRN-1E062D458663D212,B,1
TRN-1E48B1DE996A67BB,B,1
TRN-1E4BA474AA91C168,C,1
TRN-1E4F1BE45155B8A8,C,1
TRN-1E6196F97C387D07,A,1
TRN-1E7E2F552BFC4A8A,C,1
TRN-1E8D635B3C4DC62C,C,1
TRN-1E8FA20195040964,C,1
TRN-1EA1763299F1FA49,B,1
TRN-1EA30C4382EEA151,C,1
TRN-1EA8275B7F253B5C,C,1
TRN-1EA82C3595530FE2,C,1
TRN-1EB090E17B720963,A,1
TRN-1EBB70275777C11E,C,1
TRN-1EBE198514B0C329,C,1
TRN-1ECDBABD095340C1,A,1
TRN-1EF221714CF88754,C,1
TRN-1EF6E85FDD66606D,A,1
TRN-1F1F399B2C65AC9A,A,1
TRN-1F5BE0AF79E59639,A,1
TRN-1F5BEE6E122E748F,C,1
TRN-1FF37F8A2E8CDB6F,C,1
TRN-201EFF58DBD210B7,A,1
TRN-2031B8ADA3954970,C,1
TRN-2070522276D8FEF5,C,1
TRN-2070BCED0F5A8AC3,C,1
TRN-207681A55ABE87CE,C,1
TRN-20925F4FAEA079B1,B,1
TRN-20AD8C3F40C6D4B5,C,1
TRN-20C612DCA7D03A9D,C,1
TRN-20C9E81ED36D04C6,B,1
TRN-20E8FF0E5B65D890,A,1
TRN-21195DF8C0C1FC47,C,1
TRN-214D6E0AF9A67AFE,B,1
TRN-216651349F274002,C,1
TRN-218A9612006BDBE4,C,1
TRN-21A69286AC98B453,C,1
TRN-21FF51706FC59F52,C,1
TRN-2201171670D0E79D,C,1
TRN-22014EF936F0D889,C,1
TRN-22159B32AD16D41E,B,1
TRN-22285F9A1370AA6C,C,1
TRN-222C70E711B8C061,B,1
TRN-2240BF09EF66D3AB,A,1
TRN-2245F5479ADFF48A,B,1
TRN-2257D1FD71B0AF37,C,1
TRN-225F84879E74B746,B,1
TRN-226BAD5D5F6ABB6E,C,1
TRN-2274AB20147A2D91,C,1
TRN-2286B985DE0F1547,A,1
TRN-22C006EDB9EFA248,A,1
TRN-233ED8A618B2DCB8,C,1
TRN-2340C335E04C0A57,B,1
TRN-234BDE137C084205,B,1
TRN-23602E3E2F6493B2,C,1
TRN-2381D51A914ED3FC,A,1
TRN-238AAC03225D18FE,C,1
TRN-23A3276AE34357E7,C,1
TRN-23A9994B58562BD8,B,1
TRN-23AD702003B5AAA2,A,1
TRN-241E1D33E2BCEB89,C,1
TRN-244304E33DCD804C,A,1
TRN-2449ABA6FEE0AD30,B,1
TRN-244E11737D9B24CF,A,1
TRN-24726D7B2F26F253,A,1
TRN-2495235CA402A503,B,1
TRN-249C9534076F1560,A,1
TRN-24A5C7F4EB3ADC2E,A,1
TRN-24AAB8E32915E168,C,1
TRN-24C8A71B38DDF1B5,A,1
TRN-24D3B9BE4F1C8160,C,1
TRN-24DB5C8994E97B0A,B,1
TRN-25114C633BEB93D5,A,1
TRN-25427B7CE64A87D0,B,1
TRN-25629FAC64145A0D,C,1
TRN-2572C6F2C426912F,C,1
TRN-258B4451F1F72BDD,C,1
TRN-25A3B9D42D68EEBD,C,1
TRN-25D6081797DA18CB,C,1
TRN-25E03A6A8D30C3F0,B,1
TRN-25F22772A3871DB2,C,1
TRN-25F47AD91189D3EC,C,1
TRN-25F5E2DDA1371AA2,A,1
TRN-26047A7AFAC2455D,C,1
TRN-2606FD9F7208E65F,B,1
TRN-260E91DE26D3D311,C,1
TRN-2617535DCFFE1810,C,1
TRN-261BF8BE1CF05169,A,1
TRN-26280288D8D4CAA9,C,1
TRN-2629B62C244D6FB5,B,1
TRN-265731114D0E6BDF,C,1
TRN-266913FFCAA1B48D,C,1
TRN-268FE26505E85AA0,C,1
TRN-269F4AF6341FD8EF,A,1
TRN-26A5017D8C53DBAB,C,1
TRN-26B4141431C14238,C,1
TRN-26D6B89B743F6E80,C,1
TRN-26D89C787775A532,A,1
TRN-26EDCF5F9E369D98,C,1
TRN-275E15B41BF210B0,C,1
TRN-27602C9A121C0363,C,1
TRN-27783F06CDAA7C43,A,1
TRN-279D842009A262D9,C,1
TRN-27BBA37CC608A665,B,1
TRN-27BFBF3946606437,C,1
TRN-27D125019698B4AA,C,1
TRN-281D48D1DB819EDB,A,1
TRN-28345C76E81DD9CA,C,1
TRN-283AE1CDABA5B8C2,B,1
TRN-284B9D662BC1E176,A,1
TRN-2856717292C1073C,C,1
TRN-2866913FCB978C16,B,1
TRN-28674004999A9A79,C,1
TRN-289FC662F27BEDA0,C,1
TRN-28A5693619C5BE4B,A,1
TRN-28B7EAC536BBF8E2,C,1
TRN-2929E6BE4002D4ED,C,1
TRN-29421BA843847558,C,1
TRN-29788E86081EDB28,C,1
TRN-29CFC25137AFE473,B,1
TRN-29D8AFC7AD64EADE,C,1
TRN-29E87D508A470842,C,1
TRN-29FDA14377880CB1,A,1
TRN-2A003099702131DC,A,1
TRN-2A03E1CD11615F2D,B,1
TRN-2A1A5B00DAE56878,B,1
TRN-2A3006EE75435E66,B,1
TRN-2A409A4018F50148,C,1
TRN-2A4B95A0BF5A12F7,C,1
TRN-2A519A49ED4E5285,A,1
TRN-2A5802C13E525722,B,1
TRN-2A6954C03396A53B,A,1
TRN-2A6BC1D7512DE704,C,1
TRN-2A828B33494B51FF,C,1
TRN-2A95EA48772B91BD,C,1
TRN-2AB1E31972BB75FA,C,1
TRN-2AF5747BDB487921,C,1
TRN-2B061BF4802CBE46,C,1
TRN-2B0D9B2769395ED0,C,1
TRN-2B3C9E653F8D4102,C,1
TRN-2B4614762B80CA0E,C,1
TRN-2B4B99F0C8E9235B,C,1
TRN-2B5F2E78D1247128,C,1
TRN-2B7FA6C19C6F842E,C,1
TRN-2B8B15D19BD9C97D,B,1
TRN-2B97461DBC1C600B,A,1
TRN-2B982023F4AE79D2,A,1
TRN-2BFB321BCA845E01,C,1
TRN-2C55847CD521080D,C,1
TRN-2CA8A05D43F9FAE0,C,1
TRN-2CB5F70BD5024E7B,C,1
TRN-2CB97BF0A78D7138,A,1
TRN-2CC503BBD7B96FD6,A,1
TRN-2D28F0C51E879CE5,A,1
TRN-2D36747443EF0845,C,1
TRN-2D435ADEDE2C70F2,C,1
TRN-2D4D27B7D2774217,B,1
TRN-2D50D9C9DD40294F,C,1
TRN-2D534FB548F7C581,A,1
TRN-2D74C11F6556B4AE,C,1
TRN-2D93706ABFB1ECFC,C,1
TRN-2D970A7A9A503060,A,1
TRN-2DB3E560A59A9C60,B,1
TRN-2DC62F578FB67AD3,C,1
TRN-2E089A32ADA02A88,A,1
TRN-2E39908090393B05,C,1
TRN-2E3DD4D945D3ABD4,C,1
TRN-2E4A259852E07BB4,C,1
TRN-2E60037F5EEAA8B5,B,1
TRN-2E62C10D14BFA947,C,1
TRN-2E8B0930E6ACD36F,C,1
TRN-2EDBF23AE830ADDA,C,1
TRN-2F03B523DA233C1A,A,1
TRN-2F14F31693F52D97,A,1
TRN-2F1CFE2B2993D936,C,1
TRN-2F35EC4D9A97330B,A,1
TRN-2F36AC62763E724B,C,1
TRN-2F9786AD1FBFD5FD,A,1
TRN-2FB99F168A3EFCD6,C,1
TRN-2FCCA9C1ED0F1F4E,B,1
TRN-30251699B579C1D0,C,1
TRN-302FE3094031970C,C,1
TRN-3032D7390A0D6700,C,1
TRN-30463AA784C65FF6,B,1
TRN-306D51611F97D8F6,A,1
TRN-3080693B7626093D,C,1
TRN-3081B4FACDF01576,C,1
TRN-309DEA73A7BEF2EA,B,1
TRN-30A72C1C6A7AD63E,B,1
TRN-30BC103C11BC9B91,A,1
TRN-30BCCB28E7F78277,C,1
TRN-30C3C7913036A1A8,C,1
TRN-30D0E87B64BD1662,A,1
TRN-30D7D306F6B25E51,C,1
TRN-30F0B2CBB0E620F9,C,1
TRN-310D5A7819B06FFE,C,1
TRN-313B881695FA14F8,B,1
TRN-3152676F820705F1,C,1
TRN-31527E85B2DABBF2,A,1
TRN-317A220864523E19,C,1
TRN-31D951385097101F,A,1
TRN-32109B9E82D45C8C,C,1
TRN-32276E506E56E286,B,1
TRN-3232DF694F94DC5C,C,1
TRN-3233AE284686843A,C,1
TRN-325C4377EEF68A21,A,1
TRN-325FB0F392E6D51F,B,1
TRN-32D76F2B130543A8,C,1
TRN-330810C5D45AB9D2,A,1
TRN-33087060E3BC9A2E,C,1
TRN-3312042D873F846B,A,1
TRN-3313193DA515ED56,A,1
TRN-332070BE625944E7,A,1
TRN-3353EFE69F2C370D,A,1
TRN-335C8CF59E16871A,A,1
TRN-33662E6CD9D14624,C,1
TRN-338F4C7E926EFD49,C,1
TRN-33A879EC30E4B401,A,1
TRN-33B66E9F49555DA4,C,1
TRN-33BCD757DAA6D29B,B,1
TRN-33BF0D7CED2D275B,C,1
TRN-33DEBAB4296A28A4,C,1
TRN-33E983B672DCD72B,A,1
TRN-341A476B7104C4B6,C,1
TRN-342385B3245E1394,C,1
TRN-346E57E08997C9B7,C,1
TRN-349B78041165F5A9,C,1
TRN-34A9BFECAC96D253,B,1
TRN-34ADFE99B4CA52B9,B,1
TRN-34BC1499DBB97567,C,1
TRN-34BD9143B1B08033,C,1
TRN-34BEC79B61F8C1F8,A,1
TRN-34C943432F84B6E3,A,1
TRN-34D9B1E0CE8AA379,A,1
TRN-34E2B6DBDB7FF9E3,B,1
TRN-34FF4ECD6D09D45C,C,1
TRN-350828417A66BADA,C,1
TRN-35204140A221ABB0,A,1
TRN-353FDFE6D246CFCF,A,1
TRN-358EB7EAC6EB76FF,B,1
TRN-35998C8B627C10B1,C,1
TRN-35EB58372181B02B,C,1
TRN-35EEB80E4314EDD2,B,1
TRN-36170068D0203AF1,C,1
TRN-36221B7BEC9C2C34,A,1
TRN-3623EF94F1EDC173,A,1
TRN-363443861BDE815F,A,1
TRN-363ACD8957E1B673,A,1
TRN-3674CE4E04FA705D,C,1
TRN-368412DFE9BD0B4A,C,1
TRN-36BA6FE662F44DEF,C,1
TRN-36D55BB367522E3A,A,1
TRN-36EFD3C5F011A8CC,A,1
TRN-36FFFAA3D9FDFC7D,C,1
TRN-370510E7B12A577C,C,1
TRN-373B762ED3BA8AD1,C,1
TRN-3747C53E3FAC9BF4,C,1
TRN-3754D1F1E1BF32EA,C,1
TRN-377097C10D3398E8,A,1
TRN-3771B5228E454EAC,C,1
TRN-3797FA8BA25276B0,C,1
TRN-379F936547F0046F,C,1
TRN-37A6E0BACEC22531,C,1
TRN-37B65D327A627591,B,1
TRN-37BFAEF492D54652,A,1
TRN-37DC360E3B9A5990,C,1
TRN-3809824FBCFF5B90,C,1
TRN-381E531F9C9E0C2D,A,1
TRN-3831829205A7E1AB,C,1
TRN-384FD4F6CF526341,C,1
TRN-385D6555F0A58987,C,1
TRN-387717FB2132D26B,A,1
TRN-38816213364B0EAA,C,1
TRN-389DBB76D5D20112,C,1
TRN-38B7A8ED83D2743F,C,1
TRN-38D56EA721DB7E94,B,1
TRN-390C200A428ADD3E,B,1
TRN-391E81CD51BBBE12,B,1
TRN-393D9E09D093D2DD,C,1
TRN-395FF07F745C5C44,C,1
TRN-3969BA7C0C3110C4,C,1
TRN-3975EDCD503E1237,C,1
TRN-39924DE32C4372F8,C,1
TRN-39C85774148D8C52,C,1
TRN-39DF5CB03E9E5B00,C,1
TRN-39DF9875526C28AF,C,1
TRN-39E0FE8CAE8E8264,C,1
TRN-39E9055F8B3A0060,C,1
TRN-39E9A9D411064687,C,1
TRN-3A15685AAEA152CF,C,1
TRN-3A1B54CB4307FC83,C,1
TRN-3A50D961982854D9,C,1
TRN-3A6E768847347A2A,B,1
TRN-3A772F47452A6FAD,C,1
TRN-3A7B6421891414F6,C,1
TRN-3A84A15C4714103B,B,1
TRN-3A97C2AA76BCDA42,A,1
TRN-3A9D41BC3EF50A5F,A,1
TRN-3AA7A668E741C859,B,1
TRN-3ABF597F529161DE,C,1
TRN-3AE5A5A8F97FB4E7,C,1
TRN-3B2AE34B2E8AD65C,C,1
TRN-3B3E2E9832F75B1E,C,1
TRN-3B692A8025951E76,C,1
TRN-3B81147E4D5FC3A3,A,1
TRN-3B858BB0BC0C4F18,A,1
TRN-3BB6F1122516027B,C,1
TRN-3BBA5FA62E9324DB,A,1
TRN-3BBC67E9785651FB,B,1
TRN-3BD94B266D78B7D8,C,1
TRN-3BF5B891407C52FB,C,1
TRN-3C0C4991F9EEDF67,C,1
TRN-3C0F1A1C1695AB68,A,1
TRN-3C493E37721B5EE5,C,1
TRN-3C63B9524C79122E,A,1
TRN-3C64970696B305C0,A,1
TRN-3C6A3829EC03882B,A,1
TRN-3C733FE5DBDF1849,C,1
TRN-3C9915FD4873F58E,C,1
TRN-3CF5E8E69A8BFADD,B,1
TRN-3CFAE000B4BEF89B,A,1
TRN-3D0579BADDA4DB16,A,1
TRN-3D12529DA7F5935A,C,1
TRN-3D2923D695A00B4E,C,1
TRN-3D2DE2D798AC1BB1,C,1
TRN-3D3551211D5C6B59,C,1
TRN-3D4DDE0588642DA3,C,1
TRN-3D50AB6D3600887B,B,1
TRN-3D599F36D245B844,A,1
TRN-3D6F7C4C5EDDD168,C,1
TRN-3D8696DE5029332B,C,1
TRN-3DBAA63F01B66CB4,C,1
TRN-3DED2EB3C532B914,C,1
TRN-3DF4DABEF63BF33C,A,1
TRN-3E033B2BBC7D4E36,A,1
TRN-3E17D0EAA132F410,C,1
TRN-3E2706F14686F5EE,C,1
TRN-3E280F72E78A95BD,C,1
TRN-3E321FEF84B14FB9,B,1
TRN-3E33D34FEE9CF709,C,1
TRN-3E42A207B8CEA640,C,1
TRN-3E4385868968FDB7,C,1
TRN-3E5C6EB2CC825D66,A,1
TRN-3E7524E66FF9DEC3,A,1
TRN-3E90001672DBA6ED,C,1
TRN-3EC8DD94CB72AA89,B,1
TRN-3EDB74A7AA3B9BF2,C,1
TRN-3EFBC2321692E1AC,C,1
TRN-3F08917CB82E0527,C,1
TRN-3F0E1D72DF2E873B,A,1
TRN-3F14051A4E27F4D9,B,1
TRN-3F5998E87E4AAC44,C,1
TRN-3F883D1FE2AA1823,A,1
TRN-3FB4D6C0E2C4EAF4,A,1
TRN-3FB641583E1B1F1A,C,1
TRN-3FC66525F2E45E78,C,1
TRN-3FFBF4BED7991A6C,C,1
TRN-402648E54CE1E862,B,1
TRN-405371E4F1116A42,C,1
TRN-40705F5E1C47B50C,B,1
TRN-4075F13F5293DFA8,C,1
TRN-407B20D722D0A488,C,1
TRN-409152C69F48AC8B,B,1
TRN-40A598E9C0EB1A3A,C,1
TRN-40BA1904A2E11B3E,C,1
TRN-40C0BCB71889DE7D,C,1
TRN-40CAFB2C8E574FD1,C,1
TRN-40D21FE28233A007,C,1
TRN-41118EFF99D4B189,C,1
TRN-4127B5B2BE00B680,C,1
TRN-4131A695CFF4697F,B,1
TRN-413C86C984315058,C,1
TRN-414C03CB9F8520D1,C,1
TRN-4150C1EAC40BE77A,C,1
TRN-417F9AD27A357E63,C,1
TRN-419990AD31486C91,C,1
TRN-419FC1E7933C6A24,A,1
TRN-41CC5B13DF102FC5,C,1
TRN-41E8D1959C002EF2,B,1
TRN-421959DCAD6A1E69,C,1
TRN-427A8BE1A3D8C468,B,1
TRN-428E0702EB0B7A5B,C,1
TRN-42AA7ED5D59DBBD0,B,1
TRN-42B4B187E5BE19BA,B,1
TRN-42C546BA037361CA,C,1
TRN-42D5AE72A1EF29F8,C,1
TRN-42DC71B3FF4E34A2,C,1
TRN-42EFDE4D90D30B6F,A,1
TRN-4325DED72BA2432C,A,1
TRN-432B705558387E2E,C,1
TRN-432C3DCC8085DA1F,C,1
TRN-432CAA6A10639A27,C,1
TRN-434E154D822BF1D6,C,1
TRN-437271DE12B2DE05,A,1
TRN-43860F4317A50399,A,1
TRN-43910A01B497A9C9,C,1
TRN-43A3489546D08E7A,A,1
