anon_instance_id,routing_group,source_subset,pooled_record_count
TRN-02571C117C4092A4,U,rest_3954,1
TRN-025AB13305610894,U,rest_3954,1
TRN-025B51A234F71AD1,U,rest_3954,1
TRN-026D500116AC67AD,U,rest_3954,1
TRN-02852180D7545CA6,U,rest_3954,1
TRN-029E94667FBE2EB2,C,initial_rl,1
TRN-02A7AED0EFF161C3,U,rest_3954,1
TRN-02AB76E7D510B3DB,A,initial_rl,1
TRN-02B4F104D975A6CC,C,initial_rl,1
TRN-02B5B03BB75B222B,U,rest_3954,1
TRN-02CCF5F68B5D2C5B,U,rest_3954,1
TRN-02F933E0D0694800,U,rest_3954,1
TRN-030547D54E9BB725,U,rest_3954,1
TRN-030563C15FB3301E,U,rest_3954,1
TRN-030B5DCCD043E9F3,U,rest_3954,1
TRN-032139F0E1483366,U,rest_3954,1
TRN-0322381F14B3EB2B,B,initial_rl,1
TRN-032E3A6D0AE42E57,B,initial_rl,1
TRN-03414D971A3E5A16,U,rest_3954,1
TRN-0342CEB0B1DD7D6D,B,initial_rl,1
TRN-03513EE008BA78C0,U,rest_3954,1
TRN-035696F69EA3A732,U,rest_3954,1
TRN-03619D6C4A5E47AD,U,rest_3954,1
TRN-036F6128D1CE9D6B,C,initial_rl,1
TRN-0378B814F24440C5,C,initial_rl,1
TRN-0389F87A2C702574,U,rest_3954,1
TRN-038D79469F6FBF39,C,initial_rl,1
TRN-0394B85232A0B9C2,U,rest_3954,1
TRN-039B4CC941C6561D,C,initial_rl,1
TRN-03A40B134B795BB5,C,initial_rl,1
TRN-03A6156ADD94FEF6,A,initial_rl,1
TRN-03A65005A62DB8D9,U,rest_3954,1
TRN-03B405BC07EE61EF,U,rest_3954,1
TRN-03C0140326CDD64F,B,initial_rl,1
TRN-03C8893D99184ACE,U,rest_3954,1
TRN-03CEA5FAB3FFDA0C,U,rest_3954,1
TRN-03D700713A9952AB,C,initial_rl,1
TRN-03E59F53C7066C71,U,rest_3954,1
TRN-03FA34A9FF48943E,A,initial_rl,1
TRN-0404E2A961E3FE10,U,rest_3954,1
TRN-040F485CFDE95B4F,B,initial_rl,1
TRN-04160BD026F9C833,C,initial_rl,1
TRN-04165F8DE05E92ED,C,initial_rl,1
TRN-041EF1FD28720A5E,B,initial_rl,1
TRN-0421E9C22F94C0C1,U,rest_3954,1
TRN-043B3783E1F04625,U,rest_3954,1
TRN-043D6AAE0345E974,B,initial_rl,1
TRN-04536193D1296EED,U,rest_3954,1
TRN-045FD767E6DD5CBF,U,rest_3954,1
TRN-0461A138E6289808,U,rest_3954,1
TRN-047904192E013882,A,initial_rl,1
TRN-0489823D936E86C4,U,rest_3954,1
TRN-048F98AE5C342C33,A,initial_rl,1
TRN-0496DE949F8489F7,U,rest_3954,1
TRN-04A5380B250B8884,C,initial_rl,1
TRN-04BC74D0A5529CD3,U,rest_3954,1
TRN-04C0C6980086600D,C,initial_rl,1
TRN-04C24F281B3EF142,U,rest_3954,1
TRN-04CF2C8F732FAC9B,U,rest_3954,1
TRN-04D90E3BE66E3B09,U,rest_3954,1
TRN-04E8B261D741A822,A,initial_rl,1
TRN-04F514C1AA2EE7BE,B,initial_rl,1
TRN-05094B0D1C1F79E7,B,initial_rl,1
TRN-050AFAB317EFDEC4,U,rest_3954,1
TRN-051B77C8B920CFBB,C,initial_rl,1
TRN-0525DB791776D08A,U,rest_3954,1
TRN-0537A5DD06DBF1F3,A,initial_rl,1
TRN-053869EA29CE65B6,U,rest_3954,1
TRN-0540B145062067AC,U,rest_3954,1
TRN-0545A17FDCB4554C,A,initial_rl,1
TRN-05574A4A3665CD96,U,rest_3954,1
TRN-0563FE1662C78917,U,rest_3954,1
TRN-056804C149954077,U,rest_3954,1
TRN-057C15B7957F0F8A,U,rest_3954,1
TRN-058926CB73D0F552,U,rest_3954,1
TRN-0590CDCFF721FF2C,U,rest_3954,1
TRN-0596B6CFC0C46BAE,U,rest_3954,1
TRN-05B530598CFCEFE6,U,rest_3954,1
TRN-05C2516B064DB7E7,U,rest_3954,1
TRN-05D2B2123B4F00F0,C,initial_rl,1
TRN-05DCE6099C8158CD,C,initial_rl,1
TRN-05E7287CD3F7EB0D,U,rest_3954,1
TRN-05F41A152137175D,C,initial_rl,1
TRN-05F4F8AFAC0D75A9,C,initial_rl,1
TRN-0602B1A6C3423F60,U,rest_3954,1
TRN-060C3C7491D6F43E,C,initial_rl,1
TRN-06118FA13DEB2FC4,B,initial_rl,1
TRN-0613D2D1290F6F4B,U,rest_3954,1
TRN-061D5FA69CECE1E3,C,initial_rl,1
TRN-06223677706F6605,C,initial_rl,1
TRN-0637550234031996,U,rest_3954,1
TRN-06573298A75A8103,U,rest_3954,1
TRN-065B9866E9E3B336,A,initial_rl,1
TRN-065E9743E2D37BA2,C,initial_rl,1
TRN-066179250F5515AE,U,rest_3954,1
TRN-0676A3E655B08B1B,C,initial_rl,1
TRN-06813453985F5C29,U,rest_3954,1
TRN-068704F56077FFD0,C,initial_rl,1
TRN-068F0A838B392F17,U,rest_3954,1
TRN-069370AB286EDC6A,U,rest_3954,1
TRN-069B342EB5EBFA78,A,initial_rl,1
TRN-069E26580110CF18,U,rest_3954,1
TRN-06A29195416183DD,C,initial_rl,1
TRN-06B0C2D5300998B2,U,rest_3954,1
TRN-06B6F2CE8C2020B1,U,rest_3954,1
TRN-06B7E58237457AB4,C,initial_rl,1
TRN-06BFA483A2457002,B,initial_rl,1
TRN-06EC2BFA49BDB548,U,rest_3954,1
TRN-06F261BEAE336B5D,U,rest_3954,1
TRN-0700A6B2E99DF47A,U,rest_3954,1
TRN-07051A6AD643C7A8,C,initial_rl,1
TRN-070863BCCBBDE47F,C,initial_rl,1
TRN-07137974CC0EB431,U,rest_3954,1
TRN-0729BE280172BBFD,U,rest_3954,1
TRN-072AA7E7EDF4EBCC,C,initial_rl,1
TRN-072F021CAAD87ED6,U,rest_3954,1
TRN-073ECC6103FE5013,C,initial_rl,1
TRN-073F431DF256600D,U,rest_3954,1
TRN-07463F31278A21CF,U,rest_3954,1
TRN-0750343EB1F5D44F,C,initial_rl,1
TRN-075304371DE00D1C,U,rest_3954,1
TRN-075B647775B7FBA0,C,initial_rl,1
TRN-0769BDDADD153012,U,rest_3954,1
TRN-076AEE618353605C,C,initial_rl,1
TRN-077791B7DDFD63D6,U,rest_3954,1
TRN-07837119F322EC34,U,rest_3954,1
TRN-07851DE09074DAE5,A,initial_rl,1
TRN-07925DEF1A08EE33,U,rest_3954,1
TRN-07C7A0EDF0517A75,C,initial_rl,1
TRN-07C91B9B8708E28D,U,rest_3954,1
TRN-07CE9A63CABB0E51,B,initial_rl,1
TRN-07CF7159F0177DBC,U,rest_3954,1
TRN-07CF84199DD2A4B8,A,initial_rl,1
TRN-07D8CF29D14A3034,U,rest_3954,1
TRN-07DDCE296B55F3BF,U,rest_3954,1
TRN-07DFACE9F4A86403,U,rest_3954,1
TRN-07E9EF57B42BC6FE,U,rest_3954,1
TRN-07F9B6E7F7F67704,U,rest_3954,1
TRN-07FB86B91930C717,U,rest_3954,1
TRN-0805A45895AA6BC0,C,initial_rl,1
TRN-081B06256E404ABB,B,initial_rl,1
TRN-0824BE5420041947,U,rest_3954,1
TRN-083A9DAA7243A3C2,U,rest_3954,1
TRN-0850593581B03FC6,U,rest_3954,1
TRN-0851A8C7250267EF,C,initial_rl,1
TRN-0875B2723B0EF210,C,initial_rl,1
TRN-087CA54D1E41935F,U,rest_3954,1
TRN-088C071CC18DDC53,U,rest_3954,1
TRN-088E89A8F4A56323,B,initial_rl,1
TRN-0897D6294AF9D30A,U,rest_3954,1
TRN-0899755D830DF34C,A,initial_rl,1
TRN-089C069345012BA6,U,rest_3954,1
TRN-08B583FC83A11C37,U,rest_3954,1
TRN-08B5D8CAB6860AAD,C,initial_rl,1
TRN-08BAAC382570381D,U,rest_3954,1
TRN-08ED934927B36EA7,U,rest_3954,1
TRN-08EF9FCB2E823C34,U,rest_3954,1
TRN-08F3AF4FABA77613,U,rest_3954,1
TRN-08F9E48F8ECDE206,U,rest_3954,1
TRN-08FBE825B2A2D3EF,U,rest_3954,1
TRN-0917D1733E2F1F42,C,initial_rl,1
TRN-091D298CE508AA36,U,rest_3954,1
TRN-092B8A3FE691DC85,U,rest_3954,1
TRN-0931040AC4049D75,A,initial_rl,1
TRN-09346BC8EF14244D,U,rest_3954,1
TRN-09377B1053F4B9EC,C,initial_rl,1
TRN-093C0819736676F6,U,rest_3954,1
TRN-0952EA06EA087189,U,rest_3954,1
TRN-095AFBEB688F120A,U,rest_3954,1
TRN-097271085FCE714C,U,rest_3954,1
TRN-0987253E1A912C5D,U,rest_3954,1
TRN-09A4DCC919BB268C,U,rest_3954,1
TRN-09A63CAE8DE48EB1,B,initial_rl,1
TRN-09A965C9196C8C30,C,initial_rl,1
TRN-09B501833185B382,C,initial_rl,1
TRN-09B5412352E67672,U,rest_3954,1
TRN-09C09B876153321A,U,rest_3954,1
TRN-09C4B3DB32CA4996,C,initial_rl,1
TRN-09C54ABC75D21EA3,U,rest_3954,1
TRN-09D2F6A663981D43,C,initial_rl,1
TRN-09D4A31D64B96966,U,rest_3954,1
TRN-09E89DAA9525D325,U,rest_3954,1
TRN-09EB8161DE0475EC,B,initial_rl,1
TRN-09EFCC6830E2EBEB,U,rest_3954,1
TRN-09F258933C800A43,U,rest_3954,1
TRN-09F8FCA53FFDA336,U,rest_3954,1
TRN-0A104C798D9902E2,U,rest_3954,1
TRN-0A132461115415C9,U,rest_3954,1
TRN-0A18CAB0460D0B68,U,rest_3954,1
TRN-0A220E70257700C3,U,rest_3954,1
TRN-0A313803711E2C92,B,initial_rl,1
TRN-0A355800585C8E74,U,rest_3954,1
TRN-0A422A75253706D8,U,rest_3954,1
TRN-0A427D764B35D560,U,rest_3954,1
TRN-0A54AA4FCB535FAC,U,rest_3954,1
TRN-0A5F111B201A5060,U,rest_3954,1
TRN-0A6311882239466D,A,initial_rl,1
TRN-0A66C0F189FC07E0,U,rest_3954,1
TRN-0A7D17C6E6F730B6,A,initial_rl,1
TRN-0A944D032A6D918F,C,initial_rl,1
TRN-0A96A3967EA8CADA,U,rest_3954,1
TRN-0A98C3CFE7BEF32B,B,initial_rl,1
TRN-0A9FE7AA0C72C4DB,U,rest_3954,1
TRN-0AAAE2E89412AF89,U,rest_3954,1
TRN-0AABA3A201BCB0E5,B,initial_rl,1
TRN-0AAC118DC1F0AA08,C,initial_rl,1
TRN-0AB34BA9C0AB08CC,A,initial_rl,1
TRN-0ABB44EB410F9BE4,B,initial_rl,1
TRN-0ABDE2CFC617668E,U,rest_3954,1
TRN-0ABF5246D29AB022,U,rest_3954,1
TRN-0AC1F2F73E29C6A1,U,rest_3954,1
TRN-0AC266902FDA7A56,U,rest_3954,1
TRN-0ACC2A3209BBD263,U,rest_3954,1
TRN-0ACC457E0BF2AF02,U,rest_3954,1
TRN-0ACF48FCB24C555A,U,rest_3954,1
TRN-0AD0FCC23FA7DFBE,U,rest_3954,1
TRN-0AD8741FAF1D0D15,U,rest_3954,1
TRN-0AE18283817142F8,U,rest_3954,1
TRN-0AED5844E8BDDD54,U,rest_3954,1
TRN-0AF054FEF88A0C04,U,rest_3954,1
TRN-0AF15DDA819E4703,C,initial_rl,1
TRN-0AF63CBB9A960B65,U,rest_3954,1
TRN-0AFB5D1D3374C07B,C,initial_rl,1
TRN-0AFE30A3142002D0,U,rest_3954,1
TRN-0B024C018B38990A,U,rest_3954,1
TRN-0B0A68C139ADCE63,U,rest_3954,1
TRN-0B0B720D89F34201,B,initial_rl,1
TRN-0B11F53CB8FF6010,U,rest_3954,1
TRN-0B3C5E7BB4A088AE,U,rest_3954,1
TRN-0B599E5E984E676C,U,rest_3954,1
TRN-0B608E1DE38763A0,U,rest_3954,1
TRN-0B73E471AF790827,U,rest_3954,1
TRN-0B8FF9EB1C622D0E,B,initial_rl,1
TRN-0B9062E4BE2A288A,A,initial_rl,1
TRN-0B9088C2180EFB7B,C,initial_rl,1
TRN-0BB012A2579CB880,B,initial_rl,1
TRN-0BBC87CA753D8244,C,initial_rl,1
TRN-0BD28B7B581DE959,C,initial_rl,1
TRN-0BDB784F1627ECDE,C,initial_rl,1
TRN-0BDE77367C20FBCD,C,initial_rl,1
TRN-0BDE84ECDBFC9EE9,U,rest_3954,1
TRN-0BECF62E3A34AF97,U,rest_3954,1
TRN-0C0AB2234CA0C0E4,U,rest_3954,1
TRN-0C0F60524717A568,U,rest_3954,1
TRN-0C1F7EADDC4B2546,C,initial_rl,1
TRN-0C2F1899F53DD71E,U,rest_3954,1
TRN-0C31A9BAEF8E9D14,C,initial_rl,1
TRN-0C344A77F9439644,C,initial_rl,1
TRN-0C41EF8EF4B16FE6,U,rest_3954,1
TRN-0C5254CC39E94900,A,initial_rl,1
TRN-0C56F488A781077C,C,initial_rl,1
TRN-0C66849392E1314A,U,rest_3954,1
TRN-0C67434751A84FE3,C,initial_rl,1
TRN-0C71AB0A2612E503,C,initial_rl,1
TRN-0C793AA0CA33D7FA,U,rest_3954,1
TRN-0C7F14ECB4355B51,U,rest_3954,1
TRN-0C90259EAB56E0A7,U,rest_3954,1
TRN-0C99AF449845B834,U,rest_3954,1
TRN-0CAAC06ACC3E6D24,U,rest_3954,1
TRN-0CAED6BE66F69C13,U,rest_3954,1
TRN-0CB3F34202D600C7,C,initial_rl,1
TRN-0CC6DAE4A8AAF509,U,rest_3954,1
TRN-0CE1296F8313B301,U,rest_3954,1
TRN-0CED7243A1D46BDB,B,initial_rl,1
TRN-0CFF5D2A5ACAA7D4,A,initial_rl,1
TRN-0D190D2C6F79AA91,C,initial_rl,1
TRN-0D1A872C0D3A411C,C,initial_rl,1
TRN-0D1BC7D342B84EC6,C,initial_rl,1
TRN-0D1F2F8EE67A36EE,C,initial_rl,1
TRN-0D26AE0AF3B6C9CC,U,rest_3954,1
TRN-0D26D9C8F8C2D0E7,U,rest_3954,1
TRN-0D320DB4628D4C6B,U,rest_3954,1
TRN-0D3B777FC342E6D0,C,initial_rl,1
TRN-0D3CA0438F8875BD,C,initial_rl,1
TRN-0D4CFA757373C79D,C,initial_rl,1
TRN-0D59940EC8DC3EDD,C,initial_rl,1
TRN-0D8A6593F5514B4A,U,rest_3954,1
TRN-0D9BFA4C905595CA,U,rest_3954,1
TRN-0DA1582955C82163,U,rest_3954,1
TRN-0DD1019282DD227B,U,rest_3954,1
TRN-0DE1262AB9BA4BE7,U,rest_3954,1
TRN-0DE229599EC0396D,U,rest_3954,1
TRN-0DED038E59EC20AB,U,rest_3954,1
TRN-0DEFACB9D437EC5E,B,initial_rl,1
TRN-0DF79E2A7C650E90,U,rest_3954,1
TRN-0E34D137BB8E2386,C,initial_rl,1
TRN-0E3F86A9F1E370FF,U,rest_3954,1
TRN-0E407792485439AA,U,rest_3954,1
TRN-0E4079E3A91FA45C,U,rest_3954,1
TRN-0E421CEADE48AD10,U,rest_3954,1
TRN-0E423955ECBFC8EC,U,rest_3954,1
TRN-0E503D26E33C8DD3,C,initial_rl,1
TRN-0E58629105B615EA,U,rest_3954,1
TRN-0E8715DB9CB374C4,C,initial_rl,1
TRN-0E98898FA3053800,C,initial_rl,1
TRN-0EA5C04BC030FBAB,U,rest_3954,1
TRN-0EA989948B9896AF,U,rest_3954,1
TRN-0ED6417A95730A5A,U,rest_3954,1
TRN-0EDA5E9E810A70A4,B,initial_rl,1
TRN-0EE4107AB8248A9F,U,rest_3954,1
TRN-0EE4BF1185DF1CD6,C,initial_rl,1
TRN-0EEAB24362E89292,A,initial_rl,1
TRN-0EF24C39B33FD30D,A,initial_rl,1
TRN-0F0CC2CE7CB3F821,A,initial_rl,1
TRN-0F0F17499DF0F513,C,initial_rl,1
TRN-0F0FE7A088049BA1,U,rest_3954,1
TRN-0F1BA1CFF99209B6,U,rest_3954,1
TRN-0F1DF3FB03972D83,U,rest_3954,1
TRN-0F27CE2C3DA9C02E,U,rest_3954,1
TRN-0F2973D73D81CB45,C,initial_rl,1
TRN-0F2CEF7C16A53591,U,rest_3954,1
TRN-0F34D3D25AAB3DE1,U,rest_3954,1
TRN-0F3AFC3CF019D3E0,U,rest_3954,1
TRN-0F40A5DE8B59B644,U,rest_3954,1
TRN-0F41F5E400E2ED93,U,rest_3954,1
TRN-0F4482E7CC8E52B8,C,initial_rl,1
TRN-0F44FDE0CC5F99F1,U,rest_3954,1
TRN-0F46C559D7CC748B,A,initial_rl,1
TRN-0F5B09F089E54DA7,U,rest_3954,1
TRN-0F6BA60562CDFEA9,U,rest_3954,1
TRN-0F7D4B35EBC8A7AC,C,initial_rl,1
TRN-0F7E200E565F0F87,U,rest_3954,1
TRN-0F82FDCA33438ECE,U,rest_3954,1
TRN-0F844742DD1BAE64,C,initial_rl,1
TRN-0F89297EFFAAB4AA,U,rest_3954,1
TRN-0F9550BA3F9D2EFC,U,rest_3954,1
TRN-0FA1363721F26E70,C,initial_rl,1
TRN-0FB925506E99D837,U,rest_3954,1
TRN-0FC8D0F8F2CE0BEE,B,initial_rl,1
TRN-0FD2F2C8613F4654,U,rest_3954,1
TRN-0FDB9C7E9FEFF192,B,initial_rl,1
TRN-0FE1EAD954959833,U,rest_3954,1
TRN-0FEDD6F2DC1CD7F7,U,rest_3954,1
TRN-0FF9DBC3904AFBE0,U,rest_3954,1
TRN-100341930138285F,U,rest_3954,1
TRN-1016ADDDF12BFBA2,U,rest_3954,1
TRN-1017D1840E8B652E,C,initial_rl,1
TRN-101EB3CF1474F6A9,C,initial_rl,1
TRN-102247B14BD0505B,B,initial_rl,1
TRN-10309C8F15C4C9B6,C,initial_rl,1
TRN-1059D3C309E7582A,A,initial_rl,1
TRN-105A0227E3104323,U,rest_3954,1
TRN-105ED782BB901814,U,rest_3954,1
TRN-10637C9DA61759DB,U,rest_3954,1
TRN-1064B5B0B95174C2,U,rest_3954,1
TRN-10687AF99AE8E060,U,rest_3954,1
TRN-106E2DD044E0F28A,B,initial_rl,1
TRN-10860A3C056D4F26,C,initial_rl,1
TRN-1093295C1D194649,B,initial_rl,1
TRN-109E81748F83E3D1,U,rest_3954,1
TRN-10A03C174AD64769,A,initial_rl,1
TRN-10AAFEEE77A67B06,U,rest_3954,1
TRN-10B97665B2744F7A,U,rest_3954,1
TRN-10BBDC8D9E86119A,U,rest_3954,1
TRN-10C2A04D9F973EDD,U,rest_3954,1
TRN-10CF14E7DBC8C243,C,initial_rl,1
TRN-10D5F8542A813BCD,U,rest_3954,1
TRN-10D84CC3567722A3,C,initial_rl,1
TRN-10DB776DB4A4EFCE,U,rest_3954,1
TRN-10E06B066ABCC84F,U,rest_3954,1
TRN-10E4ECB17F7E8531,U,rest_3954,1
TRN-10F15B057580C1B1,U,rest_3954,1
TRN-10FA0C353487AC3E,U,rest_3954,1
TRN-11035CB6A670BA9F,C,initial_rl,1
TRN-110631192A2923F2,U,rest_3954,1
TRN-111626B6F62AFDD9,B,initial_rl,1
TRN-111E03803BECEF8E,C,initial_rl,1
TRN-1120B3C98B9E4953,C,initial_rl,1
TRN-11255B943E5D891B,U,rest_3954,1
TRN-11293D43409BA404,U,rest_3954,1
TRN-1137EB2A247EDCC1,U,rest_3954,1
TRN-1152D0F7365C02F1,C,initial_rl,1
TRN-115BC482BA5DDDCC,B,initial_rl,1
TRN-1160ECFC51A79ABF,B,initial_rl,1
TRN-11610DA88ABBF7C7,U,rest_3954,1
TRN-116C4FA62F51F83F,U,rest_3954,1
TRN-116F26300550BF2D,U,rest_3954,1
TRN-1174F8855C631339,B,initial_rl,1
TRN-119037837EE4337D,U,rest_3954,1
TRN-1190EED55F424C6A,U,rest_3954,1
TRN-11911801FE3FFBC5,U,rest_3954,1
TRN-119497763A739416,U,rest_3954,1
TRN-11973562E56EAB3F,U,rest_3954,1
TRN-119D311037A23643,C,initial_rl,1
TRN-11B32446569FE25C,C,initial_rl,1
TRN-11B968B98D5B604C,C,initial_rl,1
TRN-11BE8B93E840D030,U,rest_3954,1
TRN-11C32B5FBB182E8F,C,initial_rl,1
TRN-11C9BF6B9A03BEAE,U,rest_3954,1
TRN-11CD1F5054781FE9,U,rest_3954,1
TRN-11DB56ED96D94C1F,U,rest_3954,1
TRN-11E23BB19815096C,U,rest_3954,1
TRN-11E589CCB05725CB,A,initial_rl,1
TRN-11EF44801D7FAA48,B,initial_rl,1
TRN-11FAAE351DD71B6E,U,rest_3954,1
TRN-1204F7D38F44B51E,B,initial_rl,1
TRN-120A569396CB046F,U,rest_3954,1
TRN-1219995DC484B571,U,rest_3954,1
TRN-12229085D21299DD,U,rest_3954,1
TRN-12338DAF2CBF6B15,U,rest_3954,1
TRN-123D7F27F302B653,B,initial_rl,1
TRN-123E2F5A3717558F,C,initial_rl,1
TRN-1244EB60B8742CD0,U,rest_3954,1
TRN-1245D7ABFD4A4EAA,U,rest_3954,1
TRN-12484CDB0C018840,U,rest_3954,1
TRN-1249DF41837AE6CE,C,initial_rl,1
TRN-124D9D8D1F7DD5DC,U,rest_3954,1
TRN-125C6C2B05ACF4A0,U,rest_3954,1
TRN-125C866CE00525F4,C,initial_rl,1
TRN-126A63EAD42BB71B,A,initial_rl,1
TRN-126D85ACA7B9C9CD,C,initial_rl,1
TRN-126E9D1A9D5ACBBC,C,initial_rl,1
TRN-127217E42B85DF7D,U,rest_3954,1
TRN-127950A40C507A59,U,rest_3954,1
TRN-1281D3158BB1A51E,C,initial_rl,1
TRN-128CCDA984627651,C,initial_rl,1
TRN-129BFCEC6FDD8E08,C,initial_rl,1
TRN-12C00F2819641145,U,rest_3954,1
TRN-12C997749287849E,U,rest_3954,1
TRN-12CC7397EAE871B4,U,rest_3954,1
TRN-12CE96685E1CD76F,C,initial_rl,1
TRN-12E63A7FFAC6D33B,C,initial_rl,1
TRN-12EE6C93AB6C1330,C,initial_rl,1
TRN-12F2D575A534655C,U,rest_3954,1
TRN-12F7D3A6447B86B4,U,rest_3954,1
TRN-12FDA60DCAB12B8C,U,rest_3954,1
TRN-1310267D692CF280,U,rest_3954,1
TRN-1310E900BD306A3D,U,rest_3954,1
TRN-131E9ABE4D2E6765,U,rest_3954,1
TRN-13211C424437E2BF,U,rest_3954,1
TRN-13275981BBE44B97,U,rest_3954,1
TRN-132F5C420679E700,U,rest_3954,1
TRN-1330B9723A950083,U,rest_3954,1
TRN-1335CE805CBBE503,U,rest_3954,1
TRN-133F1F3C1915506D,C,initial_rl,1
TRN-134F403630258CB5,U,rest_3954,1
TRN-1351690F083B8001,B,initial_rl,1
TRN-135AD2C0F28F49C5,U,rest_3954,1
TRN-135C0B2109A07DE2,U,rest_3954,1
TRN-1360FCF27504F38F,U,rest_3954,1
TRN-1379C5D8A7BB3118,U,rest_3954,1
TRN-137E1FB618DF9398,C,initial_rl,1
TRN-13905ECEBDEF8983,U,rest_3954,1
TRN-139098C602DD4827,U,rest_3954,1
TRN-1391D7404BAE3934,B,initial_rl,1
TRN-13A4BF9643BDB50C,U,rest_3954,1
TRN-13AA3752F4CA6950,U,rest_3954,1
TRN-13B082CF1A2565F9,U,rest_3954,1
TRN-13B2430867F02D56,C,initial_rl,1
TRN-13B413B02526BB6F,C,initial_rl,1
TRN-13B5838CC6778631,C,initial_rl,1
TRN-13CC5F8539CD2B66,U,rest_3954,1
TRN-13E05C41222FE183,U,rest_3954,1
TRN-13E274AD1FC39171,U,rest_3954,1
TRN-13E4D4F1AA8B96BE,U,rest_3954,1
TRN-13F081D654FC796F,U,rest_3954,1
TRN-13F5B14AFE4378D9,C,initial_rl,1
TRN-13FAB97410513B03,U,rest_3954,1
TRN-13FE9567D21E2233,U,rest_3954,1
TRN-141C1BB26CC28E75,A,initial_rl,1
TRN-14345BEDC2B8C1EA,U,rest_3954,1
TRN-1443D4DE874C97D7,U,rest_3954,1
TRN-14549F36AEE55397,U,rest_3954,1
TRN-145B37C344DC62D0,U,rest_3954,1
TRN-145D128153C8CB10,A,initial_rl,1
TRN-1481FA0826FEC96D,U,rest_3954,1
TRN-1482C72B4D3207E9,U,rest_3954,1
TRN-148443C23274E13D,C,initial_rl,1
TRN-14969FC47434F3F3,U,rest_3954,1
TRN-1499BEE9F1187314,A,initial_rl,1
TRN-14A4671FBD1866B0,U,rest_3954,1
TRN-14A6B1B9F6FCF38A,C,initial_rl,1
TRN-14AB9BCABD516FC9,B,initial_rl,1
TRN-14B26203026C54FB,U,rest_3954,1
TRN-14B275E9ECB05C92,U,rest_3954,1
TRN-14B717C3B09DF963,U,rest_3954,1
TRN-14BAA67EC2894327,C,initial_rl,1
TRN-14BD9F560F041BF6,U,rest_3954,1
TRN-14C88818C8533FE7,A,initial_rl,1
TRN-14D0320F8946D4D0,C,initial_rl,1
TRN-14D1F1F48EC04B98,U,rest_3954,1
TRN-14DBF901E04D575A,A,initial_rl,1
TRN-14E7604B1E48316B,A,initial_rl,1
TRN-14EBBA6370954761,U,rest_3954,1
TRN-14EF1E261D6CC8E3,U,rest_3954,1
