mopd_record_id,manifest_position,anon_instance_id,source_record_id,teacher_category,upsample_occurrence
MOPD-5D748F4C7434547E,79,TRN-9F2F2FD128C16BE2,REC-F6B5EAEECB51D89B,B,1
MOPD-52F16B621990E276,80,TRN-FA9891AEF78AFFC6,REC-CFC2C64B406ED30C,A,1
MOPD-BC4135C25C63B775,81,TRN-FC77B590F3306CC6,REC-99CE45B30BE2741F,C,1
MOPD-1F580155FC9FF234,82,TRN-2A3006EE75435E66,REC-329B1E026F45FB3E,B,1
MOPD-A9D53DD35FA49373,83,TRN-9E171DADD496BFE9,REC-9217662080F9A276,C,1
MOPD-A27A9F547552B741,84,TRN-16DEBD756FF9CF71,REC-86D1599462B187DA,A,1
MOPD-43D8DC6FE663E684,85,TRN-3EDB74A7AA3B9BF2,REC-86D1CB7E4421BB8B,C,1
MOPD-8A64D31EE19E9D1B,86,TRN-05D2B2123B4F00F0,REC-C92346C83F04B822,C,1
MOPD-4AFAA03FD337CC7D,87,TRN-8301F6AF0A041F7B,REC-C7447DB705EBF39D,C,1
MOPD-DAE036E6575F29EB,88,TRN-0BD28B7B581DE959,REC-E4AAE70024920F11,C,1
MOPD-65B96AA54C8A04F2,89,TRN-F388075B62710901,REC-9D4E0DF45D17C899,A,1
MOPD-CF28081DAC44D376,90,TRN-A108948C1BA60A18,REC-83281791E193CAC5,C,1
MOPD-DBC54528BEC11F3B,91,TRN-3EFBC2321692E1AC,REC-241F1CEE62886125,C,1
MOPD-E6855A4AC1D790A3,92,TRN-E491890534486ED4,REC-C87B50A897131BBC,B,1
MOPD-170E8A09D5E29FEE,93,TRN-3DF4DABEF63BF33C,REC-1D581C50ABF2618D,A,1
MOPD-F789573DA966C927,94,TRN-65DD4414E72A0C69,REC-E30CA8A16027836B,A,1
MOPD-7B3520D3900CD49A,95,TRN-A04EEAF13DCB3A03,REC-5B0714C21C619D2B,B,1
MOPD-A8529FB233429A82,96,TRN-2E3DD4D945D3ABD4,REC-3A0F776E08D722C9,C,1
MOPD-E66DF1D6B95655A5,97,TRN-61E8810E9160A7C7,REC-5E589E4121BC9B51,A,1
MOPD-3971CA2FD00B8509,98,TRN-CDA531E2E77044CB,REC-7181AB2AF45704FA,A,1
MOPD-17B80E6F824197F5,99,TRN-74B36ECA02DCD888,REC-CCFB722E303B5916,B,1
MOPD-57E28A898F4BCC6E,100,TRN-7C9682D87D25FC2A,REC-4CC0ACC9D35A5FB4,B,1
MOPD-DCBF2E7950E82AD1,101,TRN-A8AF190B8987CC4D,REC-08EC0F238BB645CC,A,1
MOPD-862EF82D58A65C4D,102,TRN-14AB9BCABD516FC9,REC-92E5406600FBB844,B,1
MOPD-8138D70CEE09EE63,103,TRN-0156DF4FFEA84FC5,REC-A6F9E578ECC8D86C,C,1
MOPD-93A469D39A7CE57F,104,TRN-8CEAF8FA81D44417,REC-041175D570BB26E5,A,1
MOPD-79C5A9264440DF52,105,TRN-F86940FE58677FD6,REC-C11920F3DBBF603F,A,1
MOPD-11372A296B3BB0F6,106,TRN-5C8D62151068C670,REC-FB2CAEFA6F3E1E40,A,2
MOPD-1B97D4B2176AD9B3,107,TRN-EC237C1E4A4BD55C,REC-EDDC47576845AC92,C,1
MOPD-4D43A67F5AD5182D,108,TRN-813A2608070E0BB3,REC-8B6268EE0748AA78,A,1
MOPD-24B6019C287DA78C,109,TRN-CECFEF13438CB2A3,REC-BD36266B856DC98D,B,1
MOPD-6415266590C72F9A,110,TRN-3312042D873F846B,REC-70CFE76C0069B40E,A,1
MOPD-4056B3DA6EC39FE2,111,TRN-261BF8BE1CF05169,REC-46404F479CB1FAE4,A,1
MOPD-2E5ED320A4A936C7,112,TRN-C03C8607D9885DAF,REC-E7FA2177FB63B84B,A,1
MOPD-2DBAE90471D48115,113,TRN-EAB9351CB03992A3,REC-81D8CC488031A129,C,1
MOPD-D9C261455374D576,114,TRN-A1DF22DCF90E6486,REC-2E641F00576C3758,B,1
MOPD-C8DB20A107835EEB,115,TRN-AE459BCE242E8090,REC-A3F00FDC7D45E224,C,1
MOPD-893510096E4A3CA8,116,TRN-106E2DD044E0F28A,REC-ED0C743F9B72EA22,B,1
MOPD-1A5579458C84395C,117,TRN-20925F4FAEA079B1,REC-9491360DA179E37E,B,1
MOPD-37C3B3BBFC58757E,118,TRN-2DB3E560A59A9C60,REC-778946198A0C49F3,B,1
MOPD-09E25227DB78C99F,119,TRN-E6FD856D1EFDD736,REC-A21032AAF2A6995C,B,1
MOPD-AB9C2FA8E3278A08,120,TRN-71BD74FD53A0D996,REC-CAE94BBEECCA433A,C,1
MOPD-6BEFB28F3EF3B47A,121,TRN-A8EAA614240C8B7B,REC-E3B4A00A286A4C3B,C,1
MOPD-0C74B21164C3E3C7,122,TRN-2F35EC4D9A97330B,REC-E1A697ED2D6BC005,A,1
MOPD-95F9195ACFD6A537,123,TRN-54B353554B52C2F1,REC-B7C991DC96232CE4,B,1
MOPD-3E41E71A30B29549,124,TRN-C327F42E42A4E567,REC-B9A4DE52E72B1677,B,1
MOPD-377A706F1ADB8AEB,125,TRN-82CC73D56818DCA8,REC-810F2B5A5784FFF7,B,1
MOPD-B1FD32A698FEFA63,126,TRN-80A216570B950104,REC-A33225F80BB952DB,C,1
MOPD-EC00DAFC65A2332D,127,TRN-3312042D873F846B,REC-70CFE76C0069B40E,A,2
MOPD-00781F09606C5379,128,TRN-4F9CB600F74F7312,REC-607A824205AFF0B6,B,1
MOPD-4D9BB6797D64F106,129,TRN-265731114D0E6BDF,REC-3AADBE48FF4B731E,C,1
MOPD-D7C87C2A86FF516F,130,TRN-AD72FA45AA462504,REC-D5EAE07570651807,B,1
MOPD-CD1A90B5EFB1667C,131,TRN-5A67E19A88C2B58A,REC-BC5C34D15A86EB41,A,1
MOPD-16001B2C6AA164F0,132,TRN-6380F41E2AB8582C,REC-F43B6A2A695AFFBA,C,1
MOPD-1AD24D4241647002,133,TRN-45C5810AE3D2FF9E,REC-C95C353AA9888B3A,C,1
MOPD-1F4AECD735AC03EA,134,TRN-F84DF0F83A1CF79C,REC-ED2FF6396976DFC1,C,1
MOPD-A16CC79CD537364B,135,TRN-5010047612266453,REC-D01ECA2CBC1B1230,C,1
MOPD-D98A36C59EF8EF94,136,TRN-332070BE625944E7,REC-4BC316E2E7621B6F,A,1
MOPD-742CE312BDBC5052,137,TRN-840533AF1CEB16E4,REC-39CC587C444B397F,C,1
MOPD-1B37CC161EFA1476,138,TRN-F531AAA6776EC3BA,REC-F2BFF438C1FCF3E7,B,1
MOPD-0DDE68302320B6C0,139,TRN-D21B155D84968614,REC-A4BF491F75A95B70,B,1
MOPD-316CDAD4B8AB9FF5,140,TRN-6F565BA599B135B7,REC-E5E8D6C1552D5129,A,1
MOPD-A7F46B8194E9CB02,141,TRN-63E92EEA5E2F12AF,REC-CE32A408E2D16C7F,B,1
MOPD-A01BCA901B035DD7,142,TRN-F4A942D7F8BC5EDA,REC-8ACE56E703AA3429,A,1
MOPD-AD6162E044AA7716,143,TRN-E5A0A44AE9221CDB,REC-8B9591E9C78D89B3,B,1
MOPD-5395F95C2DF4F7C6,144,TRN-D479F9DBD4262A14,REC-C3F442FFFC5B816F,A,1
MOPD-B42B712EDBCBA3E3,145,TRN-0D59940EC8DC3EDD,REC-C1B8BB37F4DFFC14,C,1
MOPD-E5BE60EB9AC824D1,146,TRN-162328DF6313DD8D,REC-A6B466B42454EDB9,B,1
MOPD-652E3C23F0396F29,147,TRN-5470D7149F53A430,REC-5AF76F3BDB330B3F,C,1
MOPD-4270635ACC78506C,148,TRN-6F2C65855A13FBF2,REC-73F25D1B25989388,B,1
MOPD-3453ABB881CC8848,149,TRN-D183E4F29CD30B8E,REC-6B2A7D45E45E4B38,A,2
MOPD-AB6147CDE3D15464,150,TRN-2C55847CD521080D,REC-9247073E2FE9F3CF,C,1
MOPD-1FDAA286BD895A33,151,TRN-35EEB80E4314EDD2,REC-2A5580B2FFFC0F66,B,1
MOPD-275D340A054ED369,152,TRN-A9BFEDDAE868285E,REC-1E74D952EB60A247,B,1
MOPD-914C0C291455E8C0,153,TRN-4652FF5D616F28E2,REC-13D52BEBA5E7EACE,C,1
MOPD-BA6ABFBEEA5965EF,154,TRN-44725D5E3D1CEC41,REC-5900A3BB34481581,A,1
MOPD-EA7FBA0C17F60FB4,155,TRN-FFA8D747DD6AC03A,REC-007A7A57005BD494,C,1
MOPD-4E493E4516E378AF,156,TRN-1AB09B6EB29F5DEF,REC-B93CB64C7E2F63C0,B,1
MOPD-801A9B8B61EB9F51,157,TRN-D57BF801AD2472C4,REC-54DD5F95193E93AE,B,1
MOPD-25B5E8A89255330F,158,TRN-D5C54EE87025F4CD,REC-65F82952AD1ACC48,A,1
MOPD-BCE3B03B26D13854,159,TRN-BC87FA2AC9F40382,REC-F44B1388E327D3FD,B,1
MOPD-7CC4C82A4F298508,160,TRN-4CBF62C2794CEA00,REC-669C4965F8692803,B,1
MOPD-ACCFD2F34B2BB4B2,161,TRN-4B4D1D8A55CE530B,REC-543F24B90E78C795,C,1
MOPD-918DECEB69DDD775,162,TRN-42AA7ED5D59DBBD0,REC-6983113749518AA8,B,1
MOPD-ECDF259B1CA75552,163,TRN-9069AB445069E3A2,REC-DB8DF5246BB15FFD,B,1
MOPD-3D3FCB65AFFF14B2,164,TRN-4EA901732289302F,REC-87F9C7912F2BC885,B,1
MOPD-185A574467CE2380,165,TRN-E6FAFBD7EFF7D1F7,REC-5E25DC01BD282A5B,B,1
MOPD-90DB981C23755F30,166,TRN-64FFC7A2F0C8DD82,REC-4DF4137301BFAA4A,B,1
MOPD-9F7C0BE2F3294BCE,167,TRN-7072933C745A224B,REC-0871F12765FFA490,B,1
MOPD-18D0323D94742C2D,168,TRN-E6BDBD4A03C75C4A,REC-B703D2FA08B72610,C,1
MOPD-DE89128B59924E44,169,TRN-5B9A9A328E8CBDA8,REC-D537B72E1D0B2AAC,A,1
MOPD-E67295CB9A1473E8,170,TRN-51E466A388C70C9E,REC-71288EA1DB360B15,C,1
MOPD-B92682AA4DE42513,171,TRN-E23DAC64A1042EFB,REC-46CDB6FD34240BE8,A,1
MOPD-4BD6884F80BCEDB0,172,TRN-6D97E7D8C0EF95E4,REC-1D1ECDA75B066921,C,1
MOPD-7ED252AEDDD95784,173,TRN-14DBF901E04D575A,REC-E4EF3D442273514B,A,1
MOPD-2B3F753E475AF3AB,174,TRN-8EF81716A855E336,REC-BDEB538F3892D5FF,C,1
MOPD-08B1A122B5DE4AC2,175,TRN-7FEBA6762C340A14,REC-8BDCB3256F53A667,A,1
MOPD-50A03B9C77C50A75,176,TRN-1FF37F8A2E8CDB6F,REC-838168C195AF6FE4,C,1
MOPD-32D79556E77778AE,177,TRN-14A6B1B9F6FCF38A,REC-6B7B0CA96EE5F466,C,1
MOPD-84F8CF6B1565F442,178,TRN-61869D3EE15AF625,REC-974834FA26F4F9F8,A,1
MOPD-B89076416F30EC78,179,TRN-04C0C6980086600D,REC-CC3C2B8BFC9F27B1,C,1
MOPD-CC2870AAF320F5C8,180,TRN-A74E274B038DC962,REC-CA26E7F83C3093D8,A,1
MOPD-D751F96FB9A575CE,181,TRN-421959DCAD6A1E69,REC-BBA33220875670EF,C,1
MOPD-E5CD11031931083C,182,TRN-C28CBDE53FFDCDD6,REC-1832EE5477EC061E,C,1
MOPD-BD6B848214134D9B,183,TRN-A8AF190B8987CC4D,REC-08EC0F238BB645CC,A,2
MOPD-7D0B3759B201632C,184,TRN-659E710199041329,REC-67511B680932E0FB,B,1
MOPD-32605D64513D463E,185,TRN-C549D7DD40C2CE75,REC-07D63013660D3AA4,C,1
MOPD-6626EC32EAD6C5B4,186,TRN-5918D4F74C8DA9FF,REC-C984C2C356C8B7AF,C,1
MOPD-49D1C6EA9CD64935,187,TRN-EB8936594703C2EB,REC-5BA872C5828870EE,C,1
MOPD-861B310764E34685,188,TRN-8D039F56C9D5B57C,REC-7B402B335362B523,A,1
MOPD-0FE0417505724B00,189,TRN-5DDA66FFE9C54A88,REC-F45B8394D9F72AB4,C,1
MOPD-D46CC5F3A650FA33,190,TRN-934EB5BAB44B079D,REC-5839B2F9EAE20338,B,1
MOPD-02496B8CFCF7CC3A,191,TRN-48CECCC43C1B9E9D,REC-FA08E0D80B491451,B,1
MOPD-7B3B8AE4B9151283,192,TRN-3F0E1D72DF2E873B,REC-9AC83BB3D7A26E6A,A,1
MOPD-26491703630D4005,193,TRN-BB3F69D34123AF41,REC-A7762430774D6E95,B,1
MOPD-9AF9FAD7AA04BA20,194,TRN-E419EE3C8FF5F200,REC-63D0301C6612A144,B,1
MOPD-836BADA87F076963,195,TRN-BC77B736006DF7A4,REC-9EA32496A1143FD7,B,1
MOPD-51AA486A289790D6,196,TRN-3A1B54CB4307FC83,REC-6405F2E0D5354106,C,1
MOPD-DEEA94BB3E630ABC,197,TRN-2F14F31693F52D97,REC-19A33077BFF6FEAC,A,1
MOPD-738D8A64AE81A2BD,198,TRN-A08AFE63D5FD6E73,REC-0EA33A3CD79ABE96,C,1
MOPD-4EF1FC38661684E5,199,TRN-AB2197329319D491,REC-46094AA115DCF95B,C,1
MOPD-26C44877487CB79A,200,TRN-526E4197D3959B07,REC-B67B4DB1A1F6F74D,A,1
MOPD-66DA933E44DE20D1,201,TRN-9623FDEECC0439BE,REC-806971BF201B8E65,B,1
MOPD-3E47C4892921EF79,202,TRN-F81F6186A0888CA4,REC-4F736ADFCCB546A4,C,1
MOPD-F3EEE37BF1F6C942,203,TRN-6B079739E11258E2,REC-7578E5F394E4562A,B,1
MOPD-8754B336DE25CAB9,204,TRN-76602DEF6A31BE04,REC-7D459C9641BD5852,C,1
MOPD-2FA83F3B5EED43BC,205,TRN-0CED7243A1D46BDB,REC-4D834CBEC0D407CA,B,1
MOPD-A04BB8FF00565566,206,TRN-047904192E013882,REC-5255301090FF6DFF,A,1
MOPD-0F159FF36C00E940,207,TRN-DD5FA49651CD1218,REC-7BA1EA77E9BD155A,A,1
MOPD-8623B2770442F4EE,208,TRN-0EDA5E9E810A70A4,REC-1ABA8AC9FAEE5418,B,1
MOPD-F1CC44D2A89C453A,209,TRN-C539CA88E73AB1EC,REC-95D321AFCBF695AF,B,1
MOPD-58E7A57E516AACD6,210,TRN-A21F4669D97E6590,REC-6C787CBCFABC2D61,C,1
MOPD-48CEFF6162A6B283,211,TRN-0AF15DDA819E4703,REC-F2B7C9918A588C5D,C,1
MOPD-8D513515455596B1,212,TRN-C05DBE3E893AB018,REC-9E738F818F446090,A,1
MOPD-9E1C0D28854A9D9E,213,TRN-C8A78DF08DF3AA2D,REC-44D90EB79C287AE1,A,1
MOPD-3971497E6452FD2D,214,TRN-F3FAE49C8D46F1B4,REC-1390C53610AFB94B,B,1
MOPD-370ED11280AA6427,215,TRN-AB27A8B6DCA9D129,REC-9B355CC715C66F9A,B,1
MOPD-64A6796A9996A80C,216,TRN-69707E3DE33CC455,REC-92A6985E9E2736F4,A,1
MOPD-2F0C3E7FB26B3061,217,TRN-F22B6A9F4CC37DDE,REC-C174A8FD01A2104B,C,1
MOPD-74CA26A9D41F9952,218,TRN-58E619BA80924E58,REC-8F663969443FF017,C,1
MOPD-73A55C7D9B585877,219,TRN-BBBEED5AEC0179E9,REC-DEA32C8FFCCE4B11,B,1
MOPD-A3E5468A0269C3D9,220,TRN-F6DEFB0973D36C40,REC-B76D61667D149DF9,A,1
MOPD-E9C71485898CB26D,221,TRN-47362936D9C0D766,REC-6477CD533D1205D2,B,1
MOPD-AEDD4546BDF048B1,222,TRN-1875C07E211E32AF,REC-BBE75BD187964284,B,1
MOPD-D187E1AF0C70E2FB,223,TRN-6BA772185CBB7D68,REC-D317AD457B7C55E4,A,1
MOPD-26026B061E359E33,224,TRN-A429AE461BF0F2D0,REC-C94C345D635761A6,B,1
MOPD-E09B4A4DE1EDFFC2,225,TRN-ABCF843E60B06ABF,REC-EA7BD62B4B22376B,B,1
MOPD-638BEF617D5D85E2,226,TRN-495D2E988A7EAAC9,REC-4FCC705A9386D252,C,1
MOPD-7FE5B86440F264BC,227,TRN-47D746A47D6EDDB9,REC-9FA4685E1DFE9659,A,1
MOPD-8E0BE9BA4694B998,228,TRN-158004DE7E1CA3AC,REC-88B1F4A9189924CA,A,1
MOPD-3183B68309BD6244,229,TRN-5A2FB31D5D51EAC4,REC-73A2543CC0B0FC4E,B,1
MOPD-35652691A34C53F4,230,TRN-D755867E19CF2C5E,REC-DACD46785DF82CDB,B,1
MOPD-6174BB02D0D5D0FF,231,TRN-99D6708683DC46AF,REC-631D63CFDA50DAFB,C,1
MOPD-9F652F268CC2A2FB,232,TRN-EF27FB7CE65C7B56,REC-C96805D17C577DB9,B,1
MOPD-7FC352AB4AE6471E,233,TRN-0D1F2F8EE67A36EE,REC-D5C39DC5696A5D1B,C,1
MOPD-945965FAF7E0702C,234,TRN-2381D51A914ED3FC,REC-ADD3166DD519BD00,A,1
MOPD-E3B99D046E028640,235,TRN-462E0871654D8E79,REC-5331362AF7A128A3,A,1
MOPD-7373123C37B40EFA,236,TRN-BC98A68D40312279,REC-E3E5C3B18A1D12C0,B,1
MOPD-49A42342A3889FED,237,TRN-AAD319A0AB8F8395,REC-078F919A3B68D5E6,B,1
MOPD-8CF249A6F6DCB00E,238,TRN-43F8AFB4C8FBB0DC,REC-53E994225865E4B9,B,2
MOPD-3AA9C3BCFF4EB72B,239,TRN-3E5C6EB2CC825D66,REC-33855D53E3980B65,A,1
MOPD-E235A78A888A2568,240,TRN-FEA65789A6E1349D,REC-84BE84074CD0B524,B,1
MOPD-F26A231FB4DECC68,241,TRN-AD07872ED17B9F97,REC-2ADDF9C282A21AF5,A,1
MOPD-BF52DD94C9AFA593,242,TRN-B3C0998495D73FAD,REC-F52BD04A04E26494,B,1
MOPD-EA6CFA75E6DDCED4,243,TRN-E7B9820C038939B6,REC-9DD117F228E8E1C8,B,1
MOPD-5F5A229FE428D0EE,244,TRN-4E1B4F175A08F6C0,REC-EB1F680E7889339F,C,1
MOPD-2A1B4903B13324BE,245,TRN-CCBC2C4165986071,REC-17DF31868C0169D2,B,1
MOPD-C9F055FDE5EF0992,246,TRN-55B465BACEDF1729,REC-97A052432B140AAA,C,1
MOPD-8FDE945E8E3C1273,247,TRN-F997660794CEF6C4,REC-B1B5307DCB23C6B6,C,1
MOPD-B023A1B89FEBACA0,248,TRN-7C8D032914508559,REC-396D3F48923EBC72,B,1
MOPD-789F8C6097E68820,249,TRN-656057EDA359DD0A,REC-A4119B5B70232297,C,1
MOPD-644392A4B030865C,250,TRN-575A4D1635801A48,REC-9A0D023BE6BC54AC,C,1
MOPD-9EC5BDABF7B977F0,251,TRN-67414FA2399DD582,REC-182DC3C70E9DEA3D,B,1
MOPD-216644BECB28CDFC,252,TRN-B711F9AA4356A22D,REC-748A83E15EDA9738,C,1
MOPD-0D9600997E0C9318,253,TRN-39DF5CB03E9E5B00,REC-7ED75C6CE4A40830,C,1
MOPD-012B607D2E4773DC,254,TRN-3E90001672DBA6ED,REC-2B1FA369DDB3132A,C,1
MOPD-15CEDB41DC52EE5E,255,TRN-FDFF918A255F03A1,REC-566E0F58FA7ED661,A,1
MOPD-4FABB9B2743280D7,256,TRN-E6BFF85D92BC2490,REC-F6216B5517686ACF,C,1
