anon_record_id,anon_instance_id,category,training_phase,record_occurrence
REC-0706A726A7D82479,TRN-A80522A791FB6A36,C,initial_expert_rl,1
REC-07082358E4374D28,TRN-C173548910A21854,C,initial_expert_rl,1
REC-073589DCA3EF06C6,TRN-93F379D232AA0A41,C,initial_expert_rl,1
REC-073CD32046C323CD,TRN-E4FBF3DCEABA412B,C,initial_expert_rl,1
REC-0749A7A8FB3D47FA,TRN-09A965C9196C8C30,C,initial_expert_rl,1
REC-0752AE253ADEDA54,TRN-4EA67432B6F653FB,C,initial_expert_rl,1
REC-078F3A8F3E7C216D,TRN-7FFAD27F3C141639,B,initial_expert_rl,1
REC-078F919A3B68D5E6,TRN-AAD319A0AB8F8395,B,initial_expert_rl,1
REC-07AA86CA8621F852,TRN-E5CC73B5D9F99524,C,initial_expert_rl,1
REC-07AC73A0DD7A37C6,TRN-D9F419F248D8B109,C,initial_expert_rl,1
REC-07B9D3ECF89C3347,TRN-64B73BEAA64F6FBB,C,initial_expert_rl,1
REC-07C8A32D1535BFE9,TRN-C2A528595C2CC90D,C,initial_expert_rl,1
REC-07D63013660D3AA4,TRN-C549D7DD40C2CE75,C,initial_expert_rl,1
REC-082B7BE9027B9B36,TRN-C23A91119B19DA98,C,initial_expert_rl,1
REC-083DEE340DF66AAB,TRN-0E98898FA3053800,C,initial_expert_rl,1
REC-0871F12765FFA490,TRN-7072933C745A224B,B,initial_expert_rl,1
REC-0873937598B5E863,TRN-512FEF63E5C439E4,A,initial_expert_rl,1
REC-08B360D1C46B20EB,TRN-E85CDC7F43AB9F27,C,initial_expert_rl,1
REC-08B76F929D13D63B,TRN-E8AA9A5CBF2D6CD4,C,initial_expert_rl,1
REC-08B9963088137868,TRN-27602C9A121C0363,C,initial_expert_rl,1
REC-08DBAD2B1F6C3F50,TRN-6363F0B34BEDB787,A,initial_expert_rl,1
REC-08EC0F238BB645CC,TRN-A8AF190B8987CC4D,A,initial_expert_rl,1
REC-08F793A5FEBD2FF7,TRN-DBB34031823E2AE7,B,initial_expert_rl,1
REC-08F9AB0CC8D843C4,TRN-22C006EDB9EFA248,A,initial_expert_rl,1
REC-090A590868CD7540,TRN-719987B760A259E1,C,initial_expert_rl,1
REC-09271BDACBE9A08D,TRN-C2377AD7C7ACFF50,C,initial_expert_rl,1
REC-094F1ECB8A6CDFEE,TRN-BAF36504DA7E5133,C,initial_expert_rl,1
REC-095E8FA852C4BE5E,TRN-09B501833185B382,C,initial_expert_rl,1
REC-09752896497D2D64,TRN-ADDC2AEC706A6639,B,initial_expert_rl,1
REC-09AD8EAB00E608B6,TRN-A3D2ED221F26816B,C,initial_expert_rl,1
REC-09B1F7173DEA3B89,TRN-39E9055F8B3A0060,C,initial_expert_rl,1
REC-0A0BA4CB3A38DB35,TRN-5D561C28D1E28E60,C,initial_expert_rl,1
REC-0A2E92F05285AA0A,TRN-C50D8077CC77895C,C,initial_expert_rl,1
REC-0A652EB6CCA7E9B1,TRN-EF96CE7CA8F17059,B,initial_expert_rl,1
REC-0A7FF06485F68A0A,TRN-3BBA5FA62E9324DB,A,initial_expert_rl,1
REC-0AAB29F440A520C7,TRN-B17C7236FEFA095D,A,initial_expert_rl,1
REC-0ABBF29E5624B95F,TRN-18E0E1A0137BAEC5,C,initial_expert_rl,1
REC-0AD26F8BA9BCF132,TRN-34A9BFECAC96D253,B,initial_expert_rl,1
REC-0AFABFAB7EC85B23,TRN-5B04B52E4E15D0BF,C,initial_expert_rl,1
REC-0B5E3B21E0E0D896,TRN-CB3D90ADE0A30E88,C,initial_expert_rl,1
REC-0B908852D6EB35C7,TRN-9080C2079714CCE5,C,initial_expert_rl,1
REC-0B9AE699F4F2046A,TRN-7F6488EED1487FB1,B,initial_expert_rl,1
REC-0B9FE65B544D01B7,TRN-A8E9EFDBE05B4F45,B,initial_expert_rl,1
REC-0BC58FBDE7A9D9B9,TRN-28B7EAC536BBF8E2,C,initial_expert_rl,1
REC-0BEC8F9501E4B715,TRN-8F00C9944A9AA93C,C,initial_expert_rl,1
REC-0BF3C5569BB89AA6,TRN-B22524FE3BD68833,C,initial_expert_rl,1
REC-0C5993B129F1F241,TRN-65E567959B89126B,C,initial_expert_rl,1
REC-0CBEDD7B19E7BE2C,TRN-FAE143EA2D169985,A,initial_expert_rl,1
REC-0CCA727E3E3BF678,TRN-8F38291755BC53E7,A,initial_expert_rl,1
REC-0CFDD09430619A19,TRN-87CEFEF94C70E0A1,C,initial_expert_rl,1
REC-0D0669C3CC70768B,TRN-E26FE7013E5DEDD0,A,initial_expert_rl,1
REC-0D2F1AD04D293F29,TRN-39924DE32C4372F8,C,initial_expert_rl,1
REC-0D6087FBAD41CC37,TRN-6FAC8EBDE808932D,C,initial_expert_rl,1
REC-0DA2A4FD498A9401,TRN-BD170F0C11BF576C,C,initial_expert_rl,1
REC-0DAA5714575E6132,TRN-65594F711086EC82,B,initial_expert_rl,1
REC-0DAD361880DA5792,TRN-7A57A267BB932EB9,C,initial_expert_rl,1
REC-0DCE18C88EBC9FF7,TRN-CC8F21FB4C5C6875,C,initial_expert_rl,1
REC-0DD5F4BBEA23BC60,TRN-A0A7387D7D386527,C,initial_expert_rl,1
REC-0E1CAE64A729556F,TRN-38B7A8ED83D2743F,C,initial_expert_rl,1
REC-0E1EC779B1C7C65C,TRN-D78F673429DFCBF0,B,initial_expert_rl,1
REC-0E21A0884961CEE4,TRN-931E0A1B7F1570BE,B,initial_expert_rl,1
REC-0E2A5000C3969C2C,TRN-9C60ACBFB7A960F5,B,initial_expert_rl,1
REC-0E3AB721BDA97AB8,TRN-03FA34A9FF48943E,A,initial_expert_rl,1
REC-0E826CB4D4A62307,TRN-E1FBFAED245D2AEC,C,initial_expert_rl,1
REC-0E95AE4CB31042FD,TRN-2B3C9E653F8D4102,C,initial_expert_rl,1
REC-0EA33A3CD79ABE96,TRN-A08AFE63D5FD6E73,C,initial_expert_rl,1
REC-0EA712E2756718D5,TRN-A3B4E0521D49EEEF,A,initial_expert_rl,1
REC-0EAC09C7898F9E14,TRN-DA37333AC968DF38,A,initial_expert_rl,1
REC-0EBA4D49874F4E4E,TRN-9B4EF961DE2EB8C2,C,initial_expert_rl,1
REC-0EDB1CE436D0B1FF,TRN-EBF10134EC253171,C,initial_expert_rl,1
REC-0EE5D1459E5E0C96,TRN-99903EA1117EA542,B,initial_expert_rl,1
REC-0F043C5B1D21E532,TRN-E77437683DA3B1BF,C,initial_expert_rl,1
REC-0F259196E7CD7353,TRN-46AAD94CD990B5CE,C,initial_expert_rl,1
REC-0F3422A310158CB8,TRN-C7BCB0DC25530517,B,initial_expert_rl,1
REC-0F59A5F1883BC40A,TRN-45805A02BC45EAAF,C,initial_expert_rl,1
REC-0FBF83B70F47F944,TRN-C28B4721806C5FA7,C,initial_expert_rl,1
REC-0FBFEBB1DE9047F8,TRN-B17DD65334F06D34,C,initial_expert_rl,1
REC-0FF16F625F72B078,TRN-75025A9B666A2626,B,initial_expert_rl,1
REC-0FFBDAC3C8D9F3F4,TRN-1EF221714CF88754,C,initial_expert_rl,1
REC-10166F8779A31FD1,TRN-8B745F871187D576,C,initial_expert_rl,1
REC-1019664E02D16C16,TRN-7AF709F8A0FEBA15,A,initial_expert_rl,1
REC-1019A7D5FD78FF72,TRN-8302631B7EAE4198,B,initial_expert_rl,1
REC-102D7C7506E31407,TRN-8AF2642265C6EEFC,A,initial_expert_rl,1
REC-10351B6685548194,TRN-22285F9A1370AA6C,C,initial_expert_rl,1
REC-1040F13033B94FAC,TRN-ACAC63E0AA8E3C76,B,initial_expert_rl,1
REC-105ED6DD0FEF9910,TRN-7D43438864E70963,A,initial_expert_rl,1
REC-1060122D9EC61EB7,TRN-DDB3030BB206CF03,C,initial_expert_rl,1
REC-1072BF8825B8E971,TRN-33B66E9F49555DA4,C,initial_expert_rl,1
REC-1082E2582C7BB13F,TRN-9D5F3C7FA6F201C9,C,initial_expert_rl,1
REC-10AAC275442A89E6,TRN-4D234FEB987F2413,B,initial_expert_rl,1
REC-10B3507DE547A7E2,TRN-3797FA8BA25276B0,C,initial_expert_rl,1
REC-10C683C00463ACE8,TRN-F7439C101B4C6EB4,C,initial_expert_rl,1
REC-10CF1957FDD0FF75,TRN-C576E836C9307ECF,C,initial_expert_rl,1
REC-10CF7DF264245544,TRN-389DBB76D5D20112,C,initial_expert_rl,1
REC-10EE063BF2048A37,TRN-B28DCB80284E983C,A,initial_expert_rl,1
REC-10F17AA8354B2718,TRN-45F4BC9AB388EE27,A,initial_expert_rl,1
REC-10F944E7A5C15AE2,TRN-A3D4C253CFA61FD4,B,initial_expert_rl,1
REC-1116B99D9EE1F3E0,TRN-02497F5F70CDEB8E,B,initial_expert_rl,1
REC-11194C0E7940919A,TRN-11E589CCB05725CB,A,initial_expert_rl,1
REC-112B0D4EE7DE65A9,TRN-D8C23CCCA0B5496E,C,initial_expert_rl,1
REC-113761EADD3C41C7,TRN-0B9062E4BE2A288A,A,initial_expert_rl,1
REC-113867CF35547188,TRN-241E1D33E2BCEB89,C,initial_expert_rl,1
REC-1143E66D1DDD67DD,TRN-E660095F800BDECA,C,initial_expert_rl,1
REC-117430BAE84FF07A,TRN-88A69BE4EAE5176B,C,initial_expert_rl,1
REC-119C25929B771294,TRN-663A3ADA75CB898E,B,initial_expert_rl,1
REC-11BFC841FF50AC78,TRN-060C3C7491D6F43E,C,initial_expert_rl,1
REC-11D14BB4755552F5,TRN-9F7540BB005F63AD,C,initial_expert_rl,1
REC-11FE7337D94FA66F,TRN-9E5062C1223BE981,C,initial_expert_rl,1
REC-120DA70BE237CD3D,TRN-618B5065FBE91EDA,A,initial_expert_rl,1
REC-1210C392DA252C84,TRN-E3AE07090DE999F8,B,initial_expert_rl,1
REC-122BC04EEE42EE93,TRN-51506C2C2C621B33,A,initial_expert_rl,1
REC-12399052BEAFBBF2,TRN-7D898D50F38A551A,B,initial_expert_rl,1
REC-1263A6D46DE6319F,TRN-6FE7D762C68CF411,C,initial_expert_rl,1
REC-126CFA11C809C6F3,TRN-1A3ACFAFD1E36686,C,initial_expert_rl,1
REC-12890D9C7760D28D,TRN-0B0B720D89F34201,B,initial_expert_rl,1
REC-129E4BF060B3756E,TRN-34FF4ECD6D09D45C,C,initial_expert_rl,1
REC-129F1FC804175214,TRN-F7617521C0546C01,C,initial_expert_rl,1
REC-12D54B89A3CC0CF3,TRN-CDDD5BE430697193,A,initial_expert_rl,1
REC-12DA0971F5E008A6,TRN-E5A7C0ED8C61430A,C,initial_expert_rl,1
REC-12DD4CD346F7E457,TRN-159369C8989C4ACE,C,initial_expert_rl,2
REC-12E01D588D1D110C,TRN-FE25E2D8E48B7125,A,initial_expert_rl,1
REC-130B5090C508B20D,TRN-3081B4FACDF01576,C,initial_expert_rl,1
REC-134BD3BB979941FF,TRN-4FA665CD78EAC93E,C,initial_expert_rl,1
REC-1358C5993AE67FBE,TRN-A9EEB82F185F42F6,C,initial_expert_rl,1
REC-136E0D7B6FF64E34,TRN-DEE431459A7CF7FE,A,initial_expert_rl,1
REC-136E4D6FE313B239,TRN-72691FD14F0A2F1E,A,initial_expert_rl,1
REC-1390C53610AFB94B,TRN-F3FAE49C8D46F1B4,B,initial_expert_rl,1
REC-1397B472A9A98B52,TRN-C44A54EA24906FC9,C,initial_expert_rl,1
REC-13A7EC02FB2588D3,TRN-43860F4317A50399,A,initial_expert_rl,1
REC-13BB0E6B44B89DEA,TRN-594441E797D69594,B,initial_expert_rl,1
REC-13C4050A2243A038,TRN-0A313803711E2C92,B,initial_expert_rl,1
REC-13D52BEBA5E7EACE,TRN-4652FF5D616F28E2,C,initial_expert_rl,1
REC-13EC63DD385DABCA,TRN-7C257B331293E00C,C,initial_expert_rl,1
REC-13F991CCDE8D7575,TRN-9C6C760E9A8FC9D9,B,initial_expert_rl,1
REC-14160E37ACA0C30C,TRN-4A657A949D8AFD34,C,initial_expert_rl,1
REC-14B96F468EDF3226,TRN-7BCC25A3B35351D2,C,initial_expert_rl,1
REC-14C78F5C5A3711E5,TRN-7D3447C4ACCC0B75,A,initial_expert_rl,1
REC-151DBDB08835B82E,TRN-A568CA2237DA5AD9,C,initial_expert_rl,1
REC-1548AF0F3D0D45D7,TRN-3F08917CB82E0527,C,initial_expert_rl,1
REC-155670BA1D13AA81,TRN-0028BDFFB81852A4,C,initial_expert_rl,1
REC-155867ABD865F516,TRN-EDA7F0C70113FB86,C,initial_expert_rl,1
REC-156A7B38293F2D45,TRN-E21FCA9BE36D77C3,B,initial_expert_rl,1
REC-1574AE6872DBC735,TRN-20E8FF0E5B65D890,A,initial_expert_rl,1
REC-157BAC59850749C2,TRN-BFF373573C26E05E,B,initial_expert_rl,1
REC-15A013D957198086,TRN-AA1AB52D30626F71,B,initial_expert_rl,1
REC-15CE252207CDD75F,TRN-F79DD1DFBFF790E4,C,initial_expert_rl,1
REC-15E0563562AE3417,TRN-E75DC2DEC8F531F6,B,initial_expert_rl,1
REC-162A5BDB2FF4A84A,TRN-9FD71A6EDB6C7EBF,C,initial_expert_rl,1
REC-163462C240444770,TRN-B1984C2DA1747917,C,initial_expert_rl,1
REC-16415D1AE7873B21,TRN-5559CDE0028BC23C,B,initial_expert_rl,1
REC-16B5A00E23663927,TRN-13B413B02526BB6F,C,initial_expert_rl,1
REC-16CCE4D22D251F14,TRN-9083A9041AFDD341,C,initial_expert_rl,1
REC-16E297E1068B9CD0,TRN-485BB43569C29F57,C,initial_expert_rl,1
REC-16E81CC9064AE181,TRN-8DF0CBD5C44DF06B,A,initial_expert_rl,1
REC-16F7D93A265A867E,TRN-6B0EB872015DBE5C,C,initial_expert_rl,1
REC-170A31BF81A30DEA,TRN-61EA73522A12B00F,B,initial_expert_rl,1
REC-174704449AEB3E6B,TRN-4F5F8DA34F88E38F,C,initial_expert_rl,1
REC-176489F4FFD6DCC3,TRN-16314D2BBFBE8CEC,C,initial_expert_rl,1
REC-1781FC44115D9312,TRN-3F883D1FE2AA1823,A,initial_expert_rl,1
REC-1784F4E78DE39C63,TRN-F7BFA312FA65E0E5,C,initial_expert_rl,1
REC-17A60AFBC146D409,TRN-BAB421F3CAB0C04D,A,initial_expert_rl,1
REC-17B9125AF67268AA,TRN-0A944D032A6D918F,C,initial_expert_rl,1
REC-17C4483B4FFCF0CF,TRN-D7E47B64DC2AB657,C,initial_expert_rl,1
REC-17C88F082B967B4F,TRN-29CFC25137AFE473,B,initial_expert_rl,1
REC-17C9DE15C730AA19,TRN-B86D718AFA353130,A,initial_expert_rl,1
REC-17DF31868C0169D2,TRN-CCBC2C4165986071,B,initial_expert_rl,1
REC-17FD264C0AB3B24F,TRN-5C68EDDC6E0DA5C7,B,initial_expert_rl,1
REC-1800284D66246427,TRN-B89993162ABC13C4,C,initial_expert_rl,1
REC-1816A64984AFE3E5,TRN-A0A553D9CBF9E7F5,B,initial_expert_rl,1
REC-182AFF4651DC1D15,TRN-216651349F274002,C,initial_expert_rl,1
REC-182DC3C70E9DEA3D,TRN-67414FA2399DD582,B,initial_expert_rl,1
REC-1831D4DBF93C47E7,TRN-233ED8A618B2DCB8,C,initial_expert_rl,1
REC-1832EE5477EC061E,TRN-C28CBDE53FFDCDD6,C,initial_expert_rl,1
REC-183BD42E39E38282,TRN-F1571EECE72CA16A,C,initial_expert_rl,1
REC-184BAB4328260435,TRN-4EE0323DD9383A91,C,initial_expert_rl,1
REC-1888C2AA04F6DE77,TRN-4CD568B85BCAA3C3,C,initial_expert_rl,1
REC-1889B612803B212C,TRN-621E34941E2FF39A,B,initial_expert_rl,1
REC-18A10BCD30571366,TRN-AD5C89980D17A174,C,initial_expert_rl,1
REC-18B25197480BF476,TRN-CBC2128F777CB68C,C,initial_expert_rl,1
REC-18D127DB3D55BA2A,TRN-BB7C578DBA792659,C,initial_expert_rl,1
REC-18D38447E691CBA4,TRN-0E503D26E33C8DD3,C,initial_expert_rl,1
REC-18DD17A5B733AAB2,TRN-526C15768767484D,C,initial_expert_rl,1
REC-190764328AFA19D3,TRN-D8943984BC49C3D0,C,initial_expert_rl,1
REC-191F8DFBB19F7C45,TRN-05094B0D1C1F79E7,B,initial_expert_rl,1
REC-1935BEF1D16CAE09,TRN-509E2F10DCC5A61B,A,initial_expert_rl,1
REC-1936A1BDD6F2C48B,TRN-B16C100071CCF68F,B,initial_expert_rl,1
REC-1949106631241385,TRN-D894188844AD58C2,C,initial_expert_rl,1
REC-194FEC5505E460E2,TRN-B985C4162999B555,C,initial_expert_rl,1
REC-1954891A32BDCC59,TRN-8C4415904EFB1ECD,C,initial_expert_rl,1
REC-1957E49F9A025AC4,TRN-5C4DAE83DABA3B2B,C,initial_expert_rl,1
REC-195CD307B266B5C1,TRN-F5DCF1D435D98717,C,initial_expert_rl,1
REC-1964A6785536088A,TRN-CA0AC5E1A6AD6473,C,initial_expert_rl,1
REC-196580B92D11F076,TRN-AB3B3E4C2E9FB425,B,initial_expert_rl,1
REC-19A33077BFF6FEAC,TRN-2F14F31693F52D97,A,initial_expert_rl,1
REC-19B0217E12591B82,TRN-C48218ED9854620B,C,initial_expert_rl,1
REC-19C9124CEA2F8ACC,TRN-8B13F21EE531A5A4,C,initial_expert_rl,1
REC-19DC1E725048FB9A,TRN-C3E541022E703BB6,B,initial_expert_rl,1
REC-1A1C9A1889033507,TRN-414C03CB9F8520D1,C,initial_expert_rl,1
REC-1A1E2B7E272EF855,TRN-5FB3E15519356DB2,A,initial_expert_rl,1
REC-1A4D7A530A07F5BD,TRN-E7A7EBF2D8F14850,C,initial_expert_rl,1
REC-1A7F7CEB77093942,TRN-D90603C30136051C,A,initial_expert_rl,1
REC-1ABA8AC9FAEE5418,TRN-0EDA5E9E810A70A4,B,initial_expert_rl,1
REC-1AC1728AF5E9288D,TRN-A0CFF6FFFB45434C,A,initial_expert_rl,1
REC-1AD0B2C312F85F89,TRN-2BFB321BCA845E01,C,initial_expert_rl,1
REC-1AEC22EDD6A4CDC7,TRN-FA18F7E067038225,A,initial_expert_rl,1
REC-1AF64F2CDA1B00F6,TRN-983F3EB2A47C13FE,B,initial_expert_rl,1
REC-1B0EF9AAD87CB298,TRN-734B6DD7630CC447,B,initial_expert_rl,1
REC-1B291DE60B8947AE,TRN-D925116BEA4A48AA,C,initial_expert_rl,1
REC-1B2BEFD45E418D6B,TRN-D54C9F92884C1D91,C,initial_expert_rl,1
REC-1B5A8949AB9D09DD,TRN-39E9A9D411064687,C,initial_expert_rl,1
REC-1B6703FBD6F75165,TRN-79C42A1132D9775E,C,initial_expert_rl,1
REC-1B7F01DFC1098CC3,TRN-AEC2C9E1BBE1B278,C,initial_expert_rl,1
REC-1B7F4D0380864E52,TRN-24D3B9BE4F1C8160,C,initial_expert_rl,1
REC-1B8B4641B7F73630,TRN-63E8E0866B1752FA,B,initial_expert_rl,1
REC-1BEE8EF8B01B9F69,TRN-28345C76E81DD9CA,C,initial_expert_rl,1
REC-1BF86C928E579309,TRN-A908791C9A8F81B0,A,initial_expert_rl,1
REC-1C1A4E4E29F88D1E,TRN-2A6954C03396A53B,A,initial_expert_rl,1
REC-1C2885D53E74C46B,TRN-036F6128D1CE9D6B,C,initial_expert_rl,1
REC-1C2B0876182AE4E3,TRN-4B7369F9EF3D04AA,C,initial_expert_rl,1
REC-1C2F68B309B957BF,TRN-3975EDCD503E1237,C,initial_expert_rl,1
REC-1C3540D479445AC6,TRN-1EBE198514B0C329,C,initial_expert_rl,1
REC-1C3893BCC790B3E6,TRN-49C69412D34D51F1,C,initial_expert_rl,1
REC-1C4627362441D489,TRN-111E03803BECEF8E,C,initial_expert_rl,1
REC-1C58AA5234487606,TRN-341A476B7104C4B6,C,initial_expert_rl,1
REC-1C653C4A953D07C8,TRN-EF665A6C834CF0B6,C,initial_expert_rl,1
REC-1C69188F8C718EFD,TRN-68EA7A801C26D8B3,C,initial_expert_rl,1
REC-1C69621EE64FA99E,TRN-9F9510D3A4EEA727,B,initial_expert_rl,1
REC-1C825C0D811A83E4,TRN-417F9AD27A357E63,C,initial_expert_rl,1
REC-1CB3D9E12E91BAA3,TRN-AF33DAD54CA44F4C,C,initial_expert_rl,1
REC-1CC3068D19C62035,TRN-7809AEEBCF1E0AA3,C,initial_expert_rl,1
